ID,Standardize_smile,Activity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Isonitrile_1,[C-]#[N+]C1=CC(=CCC(=O)O)CC1,1,-0.6438601,-0.29508746,-1.6756339,-4.324461,-1.2257841,-1.9133792,-3.0179894,-3.240808,-2.0143788,-3.397015,8.766003,-5.476124,1.750984,-3.4529781,-3.0474868,0.16462946,0.8981735,1.9005036,2.5277686,-4.8285475,-7.006027,7.9348865,-7.2092905,-0.47903275,8.558311,-3.3919544,2.024066,1.261039,2.7640252,-4.026385,0.69864583,1.1637647,8.45811,2.114003,-5.295079,-5.1399817,2.1346035,5.304517,-0.46104696,7.3842363,1.2996287,-4.756418,1.0764358,-4.0517898,-0.78821534,-5.6331406,-8.526697,6.7997146,7.5172405,7.774954,3.1234553,-0.23289539,-1.2807974,0.8553274,-0.14347783,0.17321658,-2.6449833,1.059899,7.774344,-0.878706,-3.0052147,-1.6985617,2.2731805,2.46005,-6.0851808,-5.5149193,-0.76310813,7.117433,-1.4684422,4.3935313,2.2359872,-2.4210448,8.604628,-1.6263893,-4.744285,-1.1568694,-3.210173,-1.7282276,-1.9493923,-4.346839,1.4104865,-0.3658772,0.06945442,-4.0847664,-7.3913527,4.9045987,1.1449323,8.258615,0.10939467,-1.62749,9.245772,-0.95420045,-1.4052265,-8.2602825,6.8379393,-12.288295,5.5185246,6.6253147,-7.9313765,-1.2942528
WK14,Oc1ccccc1/C=C/c1ccc2cccc(O)c2n1,1,-1.6502137,3.7838855,-5.73895,-2.5791335,-7.2596016,-1.4762614,-5.8779073,-8.115141,-4.6961813,-11.280221,16.28045,-7.194214,2.4095914,-7.04247,-5.717054,1.1558609,1.0141718,9.543908,-3.6011014,-4.23187,-10.50725,4.969051,-8.132626,2.6216059,0.1766713,-5.548626,0.014134392,-3.4821239,-2.2431133,2.4761455,-1.5479937,10.535237,13.065856,2.511295,-7.2236457,-12.296548,5.8955665,8.384386,-10.934231,9.519945,8.761476,-8.879396,0.5869682,-2.6007164,0.3725751,-10.725369,-11.494117,4.036997,10.12926,8.510584,2.2828043,4.2589493,-4.0048165,-0.57911915,0.7436988,9.848822,-5.28175,-2.0790765,11.474509,-0.47265953,-5.214564,2.3777494,11.438578,2.580211,4.0683703,-7.8666058,-2.8603246,20.49808,-2.7937446,10.950003,1.4031842,-6.4928255,11.030427,-1.4014647,-8.8279915,-4.033862,-0.4723945,9.317649,2.611807,-10.12748,11.300054,6.3866787,5.489294,-6.70773,-16.179646,9.028883,3.2804203,20.850733,3.84328,-1.2131171,12.348155,2.4811814,-4.31834,-12.184993,8.794691,-21.361347,-1.6918263,14.714894,-9.754464,-3.9316595
WK14B,CC(=O)Oc1ccccc1/C=C/c1ccc2cccc(OC(C)=O)c2n1,1,-1.9577624,3.0412421,-6.093052,-1.7308838,-5.6620693,-5.6113114,-6.4879208,-13.4033,-7.8351984,-11.704057,15.766442,-9.713589,6.2307353,-5.6312094,-8.021347,-5.676807,1.5122831,9.112168,-5.648212,-8.150247,-10.264058,6.865876,-9.869118,5.797639,6.527534,-9.392895,-2.346346,-2.3975406,1.498228,0.73028296,0.4275419,12.984517,15.817231,2.455356,-12.2762,-13.654812,10.208478,11.687882,-13.238585,11.966946,10.590587,-11.047036,4.868135,1.0678191,0.51437795,-10.900882,-13.836034,5.282446,17.7623,13.031732,8.964107,6.386479,-5.548915,-0.25317472,2.0949733,11.362406,-6.2885804,-3.5102484,9.401428,-0.622004,-11.045443,-0.59035385,15.73606,1.0379379,-1.3745775,-10.47183,-0.9812157,25.20104,-3.584209,16.747559,-0.9886414,-10.567715,15.947965,-4.0402665,-11.708213,-2.2506213,-1.6300443,10.7092705,-0.4461341,-12.947392,9.607736,12.911451,9.55974,-7.5893083,-19.721838,6.9145994,3.1668558,28.289625,0.78886575,-0.28123003,19.165995,2.9461443,-0.7583009,-13.410739,13.191952,-22.61887,3.8920588,17.922281,-12.802468,-4.4748516
WK15,Oc1cccc(/C=C/c2ccc3cccc(O)c3n2)c1,0,-1.6450334,3.7470827,-5.917853,-2.4237351,-7.6983547,-1.7104827,-6.4406767,-7.9471555,-5.014293,-11.182553,17.02101,-7.3516583,2.6330366,-6.6795297,-6.111092,0.73291755,1.2253243,9.331479,-3.4061322,-4.2304845,-9.990873,4.7978644,-8.01201,2.1825213,0.3829592,-5.3633122,-0.5708207,-3.4667184,-1.8749835,2.7621038,-1.4211026,10.558276,13.161059,2.5440772,-6.860514,-12.662738,5.657045,8.24374,-10.959308,9.719309,8.987632,-8.192198,0.87065125,-2.1959183,0.4006924,-11.07251,-12.117399,3.5631776,10.0824375,9.0731735,2.587083,4.2765393,-4.0091705,-0.4297077,1.0495601,9.649835,-4.850109,-2.4428165,11.060175,-0.21989816,-5.4965825,2.2865777,11.2900915,2.6424134,3.867481,-8.294615,-3.454513,20.587696,-2.763915,10.983937,1.7012923,-6.1753707,11.161777,-0.9685637,-9.059626,-4.12611,-0.97664183,8.650768,2.7801795,-9.614507,11.206199,5.8117642,5.812524,-6.1465087,-16.162657,8.985158,3.7482858,21.202665,4.0318556,-1.1825893,12.491168,2.4669716,-3.6524618,-12.145854,9.236647,-21.723078,-1.6359862,15.173149,-9.431414,-3.4212189
WK15B,CC(=O)Oc1cccc(/C=C/c2ccc3cccc(O)c3n2)c1,0,-1.8834162,3.6486144,-6.159369,-2.0791063,-6.5110874,-3.6749685,-6.7935395,-10.6451025,-6.716105,-11.407467,16.624445,-8.574485,4.3389015,-6.058271,-7.19001,-2.5762303,1.5010653,9.193456,-4.8705893,-6.176102,-9.976191,5.845569,-8.82367,4.2016134,3.6896484,-7.0649467,-1.6041411,-2.6288207,0.1684164,1.7420708,-0.5915795,11.79098,14.446141,2.8742785,-9.489054,-13.436093,7.7590146,9.715822,-12.162836,10.947346,10.041345,-9.447493,2.8853061,-0.17725772,0.44821268,-11.063791,-13.1290045,4.347655,13.777046,11.626638,5.68415,5.422298,-4.8647923,-0.5626136,1.5754335,10.499654,-5.3990264,-3.1698759,9.852162,-0.6385889,-8.037144,0.5578775,13.388631,1.543056,1.4882997,-9.682143,-2.1924443,22.738258,-3.329131,13.979696,0.38745233,-8.101146,13.5681095,-2.4184053,-10.515409,-3.1622078,-1.3796737,9.543915,1.2446882,-11.349717,10.395963,9.262625,7.643159,-6.808288,-17.662636,7.9162393,3.5512247,24.720324,2.4082572,-0.5656536,16.053637,2.4991157,-1.9189442,-12.924017,11.19507,-22.442312,0.99837947,16.45492,-10.945195,-4.095899
Chalcone_6,CCN(CC)CCOC1=C[C@@H]2OC(=O)S[C@H]2C=C1C(=O)/C=C/c1ccc(OC)cc1,1,4.318902,5.9642444,-3.3149529,-5.823447,-4.9523067,-8.745102,-11.139996,-15.525394,-8.889742,-8.90876,11.071511,-14.219975,8.261984,-3.3917887,-17.101944,-1.7626789,-1.9671105,9.285819,0.39572585,-10.499054,-12.096342,10.771618,-8.123735,9.788943,7.5350366,-3.581699,-2.6732364,1.0099757,6.625444,-3.7831347,0.33828074,9.882985,18.419697,3.1833434,-13.938066,-12.955657,16.769817,10.411768,-8.06253,15.548871,8.542511,-6.1874747,9.423573,-3.522897,-1.7526577,-10.306004,-18.683706,9.026194,16.25758,16.253328,13.353057,2.3139236,-8.398065,0.9156824,-0.78826153,8.3767805,-3.7951431,-3.3421888,11.540188,0.34895238,-10.064859,-2.5759325,12.407821,-0.7084075,-6.5709043,-6.7041245,0.27505493,23.509941,-3.0984612,12.060595,3.4114022,-9.369254,16.04679,-7.9411745,-14.425827,-2.9524872,-1.9233352,9.043855,-0.2290039,-9.106264,5.519958,9.804652,3.3649633,-10.148367,-18.672516,12.0957,3.0153527,37.796726,1.0622034,-2.6759224,23.907879,4.2958746,1.869103,-16.275192,19.845085,-25.515903,0.58952945,17.631622,-19.066525,-10.681678
Chalcone_18,COc1cc(/C=C/C(=O)c2c(OC)ccc3oc(=O)sc23)ccc1OCCCN(C)C,1,2.3046777,6.7808814,-2.9026425,-4.449762,-6.3511624,-5.8911996,-14.71702,-19.157808,-10.927529,-13.630488,17.286215,-11.437278,5.55112,-5.0651083,-13.78673,-3.514309,0.9720582,12.695711,-3.836479,-5.4838066,-10.447088,7.8819156,-4.881441,12.353819,6.8671827,-6.3084445,-3.122962,-1.1319019,6.8762426,2.3604665,0.91051346,15.203264,22.130583,5.73382,-17.679626,-17.97451,14.309949,11.815348,-11.027282,15.164557,11.020009,-10.788159,6.576188,1.4674414,2.824709,-13.155771,-16.90658,7.3466973,18.661894,13.231412,13.760065,7.5469007,-4.22995,2.9110663,3.2103279,13.954353,-3.3914099,0.50143135,5.133742,0.23422447,-11.007442,1.8035406,13.374661,1.1771415,-4.3526263,-9.874421,-0.9456786,24.883137,-5.209193,12.126084,-0.046190754,-9.346855,19.716963,-9.581874,-14.1040535,-2.2855477,3.2011127,12.359315,-1.4597597,-13.563407,6.3203125,10.411441,9.266528,-13.124814,-25.000895,10.67477,-0.75100404,37.670563,-1.0932832,-1.7031653,26.470749,2.667215,4.8352413,-16.129467,18.868813,-26.920486,0.51073045,24.557932,-13.913968,-7.3717465
Azole_12,COc1ccc(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)c(O)c1,1,-0.006459169,3.8836627,-3.9726818,-5.5364523,-8.212235,-3.1557798,-12.336664,-16.870207,-7.535003,-9.240508,12.764801,-8.803432,1.1048826,-5.128832,-11.129503,-3.1976054,0.955721,11.345284,-0.22021738,-2.518841,-12.527136,3.448142,-5.371083,7.734385,6.259583,-6.5800633,-1.3952546,2.8774889,5.1546054,6.03985,2.4363513,12.233578,16.869078,2.193391,-13.163928,-15.876193,6.7739234,8.47786,-12.236568,12.258052,11.469046,-8.109223,3.7505844,1.8714849,3.1025593,-11.471294,-11.892446,7.7100844,14.642715,16.168911,12.213939,5.5496,-5.878513,-1.5529181,4.471757,10.66944,-2.9335232,-2.7902522,5.297625,1.7490368,-9.977749,3.8666263,16.449593,2.8862846,-1.8665607,-12.3070135,-3.228799,24.946411,-4.5974126,10.881883,-2.8965034,-9.366624,18.042654,-6.893825,-10.892103,0.6045611,-0.43370885,12.790103,2.6028852,-11.605168,2.3471634,14.758453,10.102169,-10.540533,-22.44239,8.011596,0.8798622,28.596275,0.16939759,-1.8917588,19.631638,-0.075928286,-0.008595258,-10.741191,18.153187,-22.874084,-0.13321432,21.945425,-10.243708,-3.4990742
Azole_18,COc1cc(O)c(C(=O)/C=C/C2=C[C@@H]3OCO[C@H]3C=C2)c(OC)c1,1,-3.532702,5.4533954,-1.1872067,-6.5347657,-4.972071,-4.3797493,-6.777349,-12.612516,-3.614422,-4.9794874,14.183931,-13.825736,1.4013952,0.54483557,-12.637754,-1.8995426,0.47816306,6.78568,3.5930786,-7.6360564,-15.395614,7.125009,-8.212709,3.2476604,8.054107,-1.6934955,0.1599052,-2.2720492,8.353299,3.5760927,-1.9145507,5.5189633,14.144875,-0.54068696,-11.079259,-13.556999,7.9174714,7.0390973,-11.060688,12.976703,6.3640027,-2.6984074,4.9829135,-2.4021618,-1.1997025,-8.817976,-12.266989,5.8850346,12.6432,17.25631,7.2980833,-1.7930607,-6.4794774,1.9432716,-1.018872,8.375415,-2.2701986,-2.7424793,9.607338,1.5211072,-7.757166,-0.36400503,13.084312,0.7346296,-4.5142546,-9.564779,-0.01021352,23.161686,-1.147242,11.018259,-0.6537363,-6.9900246,14.63207,-8.948708,-12.398659,-2.892372,-4.27589,10.810803,-2.2591245,-9.227522,2.876316,12.03168,5.7194033,-8.659691,-15.443146,12.209855,3.1354203,25.66108,1.3685396,-2.808766,17.322794,-0.67436624,-1.2471553,-10.145877,22.225496,-23.610437,2.3452728,12.349577,-15.121259,-3.0476658
1a,c1ccc(-c2nc3ccccc3n3c(N4CCN(c5ccccc5)CC4)ccc23)cc1,1,-0.5149985,0.4257588,-5.570571,-4.8644876,-11.445693,-5.026156,-9.164208,-10.097812,-7.505538,-17.331768,28.12432,-7.7482905,3.3142636,-7.7336235,-8.94492,-4.7007437,-4.8143635,10.017819,-11.303941,-13.043848,-12.600551,8.2595625,-16.8051,5.180608,-0.10302701,-3.0368123,-3.2611697,-9.148363,1.6778803,4.2332973,-7.010778,17.53012,24.386478,3.2465413,-9.094508,-16.834188,11.841915,9.287265,-12.593627,17.416586,17.562307,-11.9499445,3.9509149,-9.637274,-1.9350322,-16.949657,-9.542151,-1.7341462,24.195591,11.758143,11.553524,7.3424764,-2.7918468,2.2223487,7.9826226,12.747026,-1.2884881,-7.340466,13.806334,2.006332,-4.0375247,-3.5751197,9.934502,7.9546394,3.9344707,-10.511115,-3.1912766,20.744436,-4.626837,17.864416,0.7398072,-10.69665,7.060351,-0.1799123,-14.57613,-5.942199,2.2627451,6.099132,2.8864458,-20.965952,24.475552,11.741254,9.454463,-10.630988,-28.75469,19.365202,3.2595816,30.242075,-0.4340404,4.166409,19.26568,8.796118,-5.646704,-14.895562,8.488458,-27.42612,2.2373285,17.684156,-8.455316,-6.375265
