iter	Logloss
0	0.6860810387
1	0.6790966827
2	0.6724230044
3	0.6665924881
4	0.6594609257
5	0.654121574
6	0.6482965117
7	0.6429516384
8	0.6381673106
9	0.633479844
10	0.6277856286
11	0.6211375647
12	0.6151235539
13	0.6087090677
14	0.6040836977
15	0.5992381409
16	0.5945074619
17	0.5890378472
18	0.583598099
19	0.5785903549
20	0.5730405233
21	0.5682515934
22	0.5632520492
23	0.5591511553
24	0.555066582
25	0.5499441174
26	0.5450801297
27	0.5402821123
28	0.5357241696
29	0.5319955506
30	0.5278245776
31	0.5236568622
32	0.5195517158
33	0.5147301522
34	0.5110301953
35	0.5074951786
36	0.5036007005
37	0.4997905544
38	0.4962280477
39	0.4924646848
40	0.4890901325
41	0.4861430028
42	0.4827440002
43	0.4792481992
44	0.4760862302
45	0.4724250694
46	0.4690006785
47	0.4662046211
48	0.4630404412
49	0.4599617597
50	0.4565818153
51	0.4531952523
52	0.4502989234
53	0.4478934367
54	0.4447876776
55	0.4426006794
56	0.43998961
57	0.4371047791
58	0.4345947557
59	0.4314680356
60	0.4288575192
61	0.4266062854
62	0.423465891
63	0.4200104813
64	0.4172900657
65	0.4142225223
66	0.4121019102
67	0.4089297358
68	0.4066934853
69	0.4039588889
70	0.402121789
71	0.3997051485
72	0.3970610331
73	0.3949611911
74	0.3925364774
75	0.3903549144
76	0.3883091712
77	0.3864996583
78	0.3840560043
79	0.3821985374
80	0.3803746782
81	0.3786810799
82	0.3765672347
83	0.3748628513
84	0.3726727433
85	0.3703323946
86	0.3683814918
87	0.3666008508
88	0.3650131814
89	0.3633336216
90	0.3609345161
91	0.359104595
92	0.3569669329
93	0.3555510259
94	0.3540425971
95	0.3519935218
96	0.3507906588
97	0.3494050131
98	0.3475285516
99	0.3461734305
100	0.3449262086
101	0.3432761067
102	0.3417502644
103	0.3400184666
104	0.3384935316
105	0.3373433847
106	0.3361479162
107	0.3341363707
108	0.3325228146
109	0.3311132549
110	0.329315255
111	0.3277817192
112	0.3266297131
113	0.3254059315
114	0.3240377362
115	0.3229104057
116	0.3212877676
117	0.3198431063
118	0.318813161
119	0.3175173703
120	0.3164417193
121	0.314900267
122	0.3133144155
123	0.3122857591
124	0.3110612744
125	0.3098647098
126	0.3088547221
127	0.3077975289
128	0.3065724791
129	0.3055823689
130	0.3040159144
131	0.3028521218
132	0.3016376121
133	0.3006988343
134	0.29999355
135	0.2982987834
136	0.2972019954
137	0.2963555371
138	0.2952688891
139	0.2944511615
140	0.293537907
141	0.2926547878
142	0.2918623447
143	0.2906865059
144	0.2897380821
145	0.2886215839
146	0.2871350329
147	0.2858263604
148	0.2847989214
149	0.2840649888
150	0.2830350591
151	0.282411275
152	0.2818688782
153	0.2807369785
154	0.2795436604
155	0.2788258343
156	0.2776083606
157	0.2768941453
158	0.2756234881
159	0.2746536764
160	0.2735666003
161	0.2729748636
162	0.2723927486
163	0.2716403411
164	0.2706785366
165	0.2699331899
166	0.2692427382
167	0.2681379406
168	0.2672004742
169	0.266568421
170	0.2658709973
171	0.2650653349
172	0.2641774746
173	0.2630993473
174	0.2624135499
175	0.261535296
176	0.2606784679
177	0.2599600206
178	0.2590817808
179	0.2579961689
180	0.2574047147
181	0.2569215757
182	0.2560845346
183	0.2554976011
184	0.2549969434
185	0.2543468557
186	0.2538804218
187	0.2531905562
188	0.2527016144
189	0.2519790607
190	0.2514328657
191	0.2503127099
192	0.2495654228
193	0.2489345066
194	0.2482134935
195	0.2476907736
196	0.247138018
197	0.2466248222
198	0.2457296186
199	0.2451467172
200	0.2445247586
201	0.2439727703
202	0.2433376412
203	0.2426626931
204	0.2419974952
205	0.2411399957
206	0.240450146
207	0.2398522335
208	0.239460049
209	0.238702318
210	0.2382340399
211	0.2375898013
212	0.2372394398
