iter	Passed	Remaining
243	9597	29736
244	9637	29699
245	9678	29664
246	9720	29633
247	9760	29595
248	9800	29559
249	9839	29518
250	9878	29478
251	9917	29438
252	9962	29415
253	10002	29376
254	10041	29336
255	10083	29305
256	10122	29265
257	10161	29225
258	10198	29178
259	10239	29143
260	10285	29121
261	10326	29087
262	10368	29056
263	10408	29017
264	10446	28975
265	10489	28945
266	10529	28906
267	10568	28866
268	10611	28835
269	10651	28797
270	10689	28755
271	10730	28720
272	10764	28667
273	10802	28621
274	10841	28582
275	10881	28544
276	10921	28507
277	10963	28472
278	11004	28437
279	11042	28395
280	11083	28359
281	11123	28320
282	11162	28279
283	11201	28240
284	11241	28202
285	11281	28165
286	11320	28124
287	11362	28090
288	11401	28049
289	11441	28010
290	11481	27973
291	11521	27935
292	11562	27899
293	11602	27861
294	11642	27824
295	11683	27788
296	11723	27749
297	11758	27700
298	11796	27657
299	11830	27605
300	11865	27554
301	11902	27509
302	11942	27472
303	11983	27435
304	12022	27396
305	12061	27355
306	12101	27317
307	12143	27282
308	12182	27243
309	12222	27205
310	12262	27166
311	12301	27126
312	12339	27084
313	12379	27045
314	12419	27007
315	12457	26964
316	12494	26919
317	12529	26870
318	12569	26832
319	12610	26796
320	12650	26758
321	12690	26720
322	12729	26680
323	12768	26640
324	12808	26601
325	12847	26561
326	12886	26522
327	12929	26488
328	12967	26448
329	13006	26407
330	13046	26369
331	13085	26328
332	13122	26283
333	13157	26237
334	13191	26185
335	13230	26146
336	13267	26102
337	13305	26059
338	13343	26018
339	13381	25976
340	13422	25940
341	13462	25901
342	13504	25867
343	13545	25830
344	13584	25791
345	13623	25750
346	13660	25707
347	13698	25664
348	13735	25621
349	13775	25582
350	13813	25541
351	13853	25502
352	13891	25461
353	13930	25421
354	13970	25382
355	14009	25343
356	14047	25301
357	14087	25263
358	14125	25221
359	14165	25182
360	14202	25139
361	14241	25099
362	14281	25060
363	14315	25012
364	14350	24966
365	14389	24926
366	14428	24885
367	14465	24843
368	14505	24804
369	14543	24762
370	14583	24725
371	14622	24684
372	14661	24645
373	14698	24602
374	14737	24561
375	14750	24479
376	14787	24437
377	14827	24399
378	14866	24359
379	14905	24319
380	14945	24281
381	14985	24244
382	15025	24206
383	15067	24170
384	15108	24134
385	15146	24093
386	15185	24053
387	15225	24014
388	15265	23977
389	15305	23939
390	15345	23900
391	15384	23861
392	15422	23821
393	15459	23778
394	15500	23741
395	15541	23704
396	15580	23664
397	15621	23628
398	15661	23590
399	15702	23553
400	15741	23514
401	15782	23477
402	15822	23439
403	15863	23403
404	15903	23363
405	15944	23327
406	15985	23290
407	16024	23251
408	16062	23210
409	16101	23170
410	16138	23127
411	16184	23098
412	16224	23059
413	16267	23025
414	16307	22987
415	16348	22950
416	16388	22911
417	16428	22873
418	16468	22835
419	16508	22797
420	16548	22759
421	16588	22720
422	16627	22681
423	16666	22641
424	16703	22598
425	16741	22558
426	16780	22517
427	16821	22480
428	16836	22409
429	16874	22368
430	16914	22330
431	16954	22291
432	16995	22254
433	17034	22215
434	17072	22175
435	17111	22134
436	17149	22093
437	17188	22054
438	17227	22015
439	17267	21976
440	17307	21938
441	17346	21899
442	17386	21860
443	17426	21822
444	17465	21783
445	17505	21743
446	17545	21705
447	17587	21670
448	17627	21631
449	17668	21595
450	17709	21557
451	17749	21518
452	17789	21480
453	17830	21444
454	17871	21406
455	17910	21367
456	17935	21310
457	17973	21270
458	18011	21229
459	18049	21188
460	18088	21148
461	18125	21107
462	18165	21068
463	18204	21029
464	18238	20984
465	18273	20939
466	18312	20900
467	18347	20856
468	18380	20810
469	18418	20770
470	18452	20724
471	18486	20680
472	18523	20638
473	18562	20599
474	18597	20555
475	18632	20511
476	18667	20467
477	18701	20422
478	18736	20379
479	18771	20335
480	18804	20290
481	18837	20244
482	18872	20201
483	18907	20157
484	18943	20114
485	18978	20072
486	19014	20029
487	19049	19985
488	19082	19940
489	19116	19897
490	19153	19855
491	19187	19811
492	19221	19767
493	19255	19723
494	19290	19679
495	19328	19639
496	19366	19600
497	19405	19561
498	19444	19522
499	19483	19483
500	19523	19445
501	19563	19407
502	19604	19370
503	19644	19332
504	19684	19294
505	19723	19255
506	19762	19216
507	19799	19175
508	19836	19135
509	19875	19095
510	19914	19057
511	19950	19015
512	19986	18973
513	20022	18931
514	20057	18889
515	20091	18845
516	20127	18803
517	20165	18763
518	20199	18720
519	20234	18678
520	20271	18637
521	20308	18596
522	20347	18558
523	20385	18518
524	20424	18478
525	20462	18439
526	20500	18399
527	20538	18359
528	20576	18320
529	20616	18282
530	20658	18246
531	20698	18208
532	20737	18169
533	20776	18130
534	20815	18091
535	20853	18052
536	20888	18009
537	20923	17968
538	20958	17925
539	20992	17882
540	21027	17840
541	21062	17798
542	21099	17757
543	21132	17714
544	21167	17672
545	21203	17630
546	21236	17586
547	21270	17544
548	21304	17501
549	21338	17458
550	21373	17416
551	21407	17374
552	21440	17331
553	21475	17288
554	21511	17247
555	21545	17205
556	21579	17162
557	21616	17122
558	21650	17080
559	21685	17038
560	21719	16996
561	21754	16954
562	21788	16912
563	21822	16869
564	21858	16828
565	21892	16786
566	21926	16744
567	21961	16702
568	21995	16660
569	22029	16618
570	22065	16577
571	22101	16537
572	22136	16496
573	22172	16455
574	22212	16417
575	22251	16379
576	22291	16341
577	22331	16304
578	22371	16266
579	22411	16229
580	22450	16190
581	22489	16152
582	22526	16112
583	22562	16071
584	22598	16031
585	22632	15989
586	22666	15947
587	22702	15907
588	22737	15865
589	22771	15824
590	22808	15784
591	22843	15743
592	22879	15703
593	22916	15663
594	22957	15626
595	22997	15588
596	23036	15550
597	23077	15513
598	23116	15475
599	23156	15437
600	23191	15396
601	23225	15355
602	23260	15314
603	23295	15273
604	23329	15231
605	23363	15189
606	23398	15149
607	23432	15107
608	23468	15067
609	23504	15027
610	23539	14986
611	23574	14945
612	23608	14904
613	23646	14865
614	23684	14826
615	23721	14787
616	23760	14749
617	23798	14710
618	23833	14670
619	23870	14630
620	23908	14591
621	23946	14552
622	23982	14512
623	24020	14473
624	24060	14436
625	24098	14397
626	24135	14357
627	24172	14318
628	24209	14279
629	24248	14241
630	24285	14202
631	24321	14161
632	24355	14120
633	24389	14079
634	24423	14038
635	24457	13997
636	24491	13956
637	24525	13915
638	24561	13875
639	24596	13835
640	24629	13794
641	24664	13753
642	24700	13713
643	24734	13673
644	24769	13632
645	24805	13593
646	24844	13554
647	24884	13517
648	24924	13479
649	24962	13441
650	25002	13403
651	25044	13367
652	25084	13329
653	25121	13290
654	25157	13251
655	25196	13212
656	25236	13175
657	25275	13137
658	25317	13100
659	25364	13066
660	25409	13031
661	25447	12992
662	25483	12953
663	25521	12914
664	25559	12875
665	25595	12836
666	25630	12796
667	25667	12756
668	25702	12716
669	25738	12677
670	25773	12636
671	25787	12586
672	25821	12546
673	25855	12505
674	25891	12466
675	25931	12428
676	25971	12391
677	26012	12353
678	26051	12315
679	26087	12276
680	26125	12237
681	26162	12199
682	26198	12159
683	26234	12120
684	26294	12091
685	26344	12058
686	26384	12020
687	26424	11983
688	26462	11944
689	26505	11908
690	26557	11876
691	26605	11841
692	26653	11807
693	26700	11773
694	26746	11737
695	26785	11699
696	26822	11660
697	26858	11620
698	26895	11581
699	26932	11542
700	26969	11503
701	27005	11463
702	27042	11424
703	27083	11387
704	27119	11347
705	27155	11308
706	27192	11269
707	27229	11230
708	27267	11191
709	27304	11152
710	27341	11113
711	27378	11074
712	27414	11035
713	27451	10996
714	27488	10956
715	27524	10917
716	27563	10879
717	27600	10840
718	27635	10800
719	27673	10762
720	27709	10722
721	27745	10683
722	27780	10643
723	27815	10603
724	27849	10563
725	27885	10524
726	27920	10484
727	27957	10445
728	27992	10406
729	28027	10366
730	28062	10326
731	28099	10287
732	28136	10248
733	28173	10209
734	28210	10171
735	28246	10131
736	28285	10093
737	28307	10049
738	28342	10009
739	28378	9970
740	28415	9931
741	28451	9892
742	28492	9855
743	28530	9816
744	28569	9778
745	28605	9739
746	28640	9700
747	28679	9662
748	28701	9618
749	28788	9596
750	28925	9590
751	28994	9561
752	29041	9526
753	29087	9490
754	29179	9468
755	29220	9431
756	29262	9393
757	29306	9356
758	29352	9320
759	29404	9285
760	29450	9249
761	29493	9211
762	29536	9174
763	29574	9135
764	29618	9098
765	29660	9060
766	29702	9023
767	29744	8985
768	29785	8947
769	29824	8908
770	29864	8870
771	29906	8832
772	29952	8795
773	29994	8757
774	30032	8719
775	30073	8681
776	30112	8642
777	30151	8603
778	30190	8564
779	30227	8525
780	30272	8488
781	30336	8456
782	30396	8424
783	30442	8387
784	30485	8349
785	30530	8312
786	30572	8274
787	30617	8237
788	30669	8201
789	30718	8165
790	30756	8126
791	30799	8088
792	30834	8048
793	30871	8009
794	30912	7971
795	30950	7932
796	30989	7893
797	31026	7853
798	31061	7814
799	31096	7774
800	31133	7734
801	31168	7694
802	31203	7655
803	31237	7615
804	31273	7575
805	31309	7536
806	31330	7493
807	31365	7453
808	31400	7413
809	31435	7373
810	31470	7334
811	31513	7296
812	31555	7258
813	31592	7218
814	31631	7180
815	31665	7140
816	31702	7100
817	31737	7061
818	31774	7022
819	31816	6984
820	31838	6941
821	31874	6902
822	31914	6863
823	31949	6824
824	31985	6784
825	32020	6745
826	32060	6706
827	32096	6667
828	32131	6627
829	32166	6588
830	32201	6548
831	32237	6509
832	32275	6470
833	32312	6431
834	32348	6392
835	32383	6352
836	32417	6313
837	32452	6273
838	32488	6234
839	32523	6194
840	32562	6156
841	32597	6116
842	32631	6077
843	32666	6037
844	32701	5998
845	32735	5959
846	32771	5919
847	32809	5880
848	32843	5841
849	32880	5802
850	32917	5763
851	32951	5724
852	32987	5684
853	33021	5645
854	33066	5607
855	33101	5568
856	33136	5529
857	33171	5489
858	33203	5450
859	33242	5411
860	33277	5372
861	33313	5333
862	33352	5294
863	33388	5255
864	33423	5216
865	33460	5177
866	33493	5137
867	33529	5098
868	33565	5059
869	33600	5020
870	33635	4981
871	33670	4942
872	33704	4903
873	33740	4864
874	33776	4825
875	33815	4786
876	33850	4747
877	33885	4708
878	33920	4669
879	33955	4630
880	33990	4591
881	34025	4552
882	34064	4513
883	34098	4474
884	34133	4435
885	34167	4396
886	34202	4357
887	34237	4318
888	34272	4279
889	34307	4240
890	34342	4201
891	34377	4162
892	34411	4123
893	34446	4084
894	34482	4045
895	34519	4006
896	34559	3968
897	34600	3930
898	34636	3891
899	34675	3852
900	34718	3814
901	34753	3775
902	34791	3737
903	34838	3699
904	34876	3661
905	34917	3622
906	34959	3584
907	34998	3546
908	35044	3508
909	35085	3469
910	35122	3431
911	35158	3392
912	35193	3353
913	35230	3314
914	35269	3276
915	35302	3237
916	35339	3198
917	35373	3159
918	35409	3121
919	35445	3082
920	35481	3043
921	35516	3004
922	35552	2965
923	35593	2927
924	35629	2888
925	35664	2850
926	35698	2811
927	35733	2772
928	35771	2733
929	35808	2695
930	35849	2656
931	35885	2618
932	35921	2579
933	35956	2540
934	35992	2502
935	36029	2463
936	36064	2424
937	36100	2386
938	36135	2347
939	36170	2308
940	36206	2270
941	36242	2231
942	36278	2192
943	36313	2154
944	36350	2115
945	36386	2077
946	36422	2038
947	36456	1999
948	36492	1961
949	36527	1922
950	36563	1883
951	36600	1845
952	36634	1806
953	36668	1768
954	36704	1729
955	36740	1690
956	36775	1652
957	36811	1613
958	36848	1575
959	36883	1536
960	36916	1498
961	36952	1459
962	36987	1421
963	37022	1382
964	37058	1344
965	37095	1305
966	37131	1267
967	37165	1228
968	37200	1190
969	37235	1151
970	37270	1113
971	37304	1074
972	37339	1036
973	37374	997
974	37410	959
975	37446	920
976	37482	882
977	37518	843
978	37555	805
979	37592	767
980	37628	728
981	37664	690
982	37699	651
983	37735	613
984	37770	575
985	37806	536
986	37842	498
987	37882	460
988	37919	421
989	37955	383
990	37991	345
991	38026	306
992	38061	268
993	38097	229
994	38137	191
995	38174	153
996	38209	114
997	38244	76
998	38279	38
999	38313	0
