,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.608695652173913,0.4210526315789474,0.5,0.5454545454545455,0.608695652173913,0.4545454545454545,0.5,0.5833333333333334,0.5454545454545455,0.64
1,0.3333333333333333,0.5,0.5,0.5,0.6153846153846153,0.30769230769230765,0.75,0.6666666666666667,0.7142857142857143,0.7142857142857143
2,0.6,0.5925925925925926,0.5384615384615385,0.5384615384615385,0.5185185185185185,0.5,0.5185185185185185,0.5806451612903226,0.5185185185185185,0.6666666666666667
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0
4,0.2,0.0,0.0,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.0,0.2,0.2222222222222222,0.3076923076923077
5,0.23529411764705882,0.125,0.125,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.31578947368421056,0.125,0.31578947368421056
6,0.0,0.0,0.125,0.5,0.56,0.1111111111111111,0.4166666666666667,0.4166666666666667,0.47619047619047616,0.5
7,0.18181818181818182,0.33333333333333337,0.18181818181818182,0.18181818181818182,0.16666666666666669,0.0,0.33333333333333337,0.28571428571428575,0.16666666666666669,0.14285714285714288
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.1785198928056071,0.1802721088435374,0.18497202238209431,0.41421012849584277,0.5068027210884354,0.12108843537414965,0.1061474757126931,0.20284780578898223,0.38369565217391305,0.4235632183908046
11,0.5703764772602334,0.5790858492157194,0.5972176576582843,0.5946582801635066,0.5824024935320615,0.5007451292549815,0.6336083715782964,0.5664393924881296,0.586250561164523,0.6212207263199762
12,0.5265848138619986,0.5780534211343,0.6619468764004143,0.6757072108046304,0.5457481348118647,0.49039843313736586,0.5799944746320346,0.6031184045227933,0.7044826472638023,0.5386590442962992
13,0.09154935055223425,0.09487700877452429,0.1260458675195847,0.14943950698558994,0.12731598928879728,0.07409975309997963,0.20443837288024747,0.09578248885387303,0.10152634530514715,0.11430212435851533
14,0.5369260981291056,0.6502638934361624,0.7936485619559833,0.6595155527245862,0.6967239989273399,0.3149048063618025,0.6519165014797478,0.682320215535607,0.623809651794656,0.5797631032680867
15,0.5189952904238618,0.31245210727969347,0.456998556998557,0.42396958783513405,0.4607479054483663,0.4828231292517007,0.28873319662793345,0.15605881465945617,0.3457819957819958,0.1737689289871453
16,0.514940507741966,0.5498160832064941,0.546671360829974,0.47718922331095576,0.4338620005286672,0.5288940125896647,0.575258457264357,0.43574723846653673,0.4184609336312123,0.479168062759394
17,0.4155578450199781,0.5085125448028673,0.49388393410132536,0.37122626828509186,0.35967791467791466,0.1457349397345557,0.5426504991545643,0.35773792762600987,0.5023142168871664,0.4091081866592324
18,0.3502267894487884,0.4176600366052699,0.45962822661160396,0.59076359537898,0.5425376077779607,0.36766147895981766,0.5172746369136854,0.5455268917389966,0.5703589399585194,0.5614017986065866
19,0.344388586360853,0.5638583767242127,0.5574935263089612,0.4818518867151086,0.6415636334991173,0.31198105455264485,0.4657549980025567,0.49665819610672546,0.5477456202716877,0.557259099577756
20,0.47318802909190283,0.7208888888888888,0.7975974025974026,0.6343682983682983,0.66203007518797,0.3655087329625613,0.4183992921492921,0.5167693399638749,0.6399036979969184,0.7391332681655262
21,0.46051096807675757,0.5047884168035031,0.5502551588841561,0.5600689573060086,0.57120037749398,0.31299139051332037,0.6025058710352829,0.4421172128370461,0.5986902676024247,0.5946754794814101
22,0.060166852400200865,0.15207600281491906,0.4750537056928034,0.40989699955217196,0.3128221155840735,0.03754029672992525,0.22646007877282445,0.2463711994811161,0.3401909832255884,0.23219467235860677
23,0.1886258392192208,0.1472607964494374,0.18172915194833436,0.29315033404710267,0.35697208718950857,0.16137263241922295,0.19068096007478544,0.19855034557050855,0.23869117683480823,0.1842121693874537
24,0.27321717060303213,0.6384603377323683,0.678861124993059,0.6802275094027177,0.6415807564083426,0.28101995268514884,0.5785966286998124,0.4052101491071206,0.5620729073019936,0.42836317628318665
25,0.6497094562551242,0.5206896551724138,0.7222816240831128,0.6554215899043485,0.6252704109772691,0.3881069844537079,0.6509793181314761,0.6339586883930025,0.6465187267512849,0.6015477816107105
26,0.8589632277834526,0.8761273209549072,0.8912521440823328,0.9147058823529411,0.9003092783505154,0.854040404040404,0.8280870742161064,0.8781593406593406,0.9227272727272727,0.8997087378640778
27,0.37732800752602735,0.35013326669998335,0.4588095238095239,0.4129062362758015,0.44213253324215895,0.25303471668631333,0.3852952090072359,0.30612839601172825,0.3770497877260852,0.5014048773407063
28,0.18738996173206698,0.11465383435306009,0.13303329631597813,0.1902365769798638,0.12201625749147446,0.1314689169748042,0.15446125945518382,0.1499088905516584,0.13307313083044697,0.09932901744227218
29,0.831168831168831,0.6575459023734885,0.8333333333333333,0.8666666666666667,0.8322077922077922,0.8183982683982682,0.7296703296703297,0.7095763147743346,0.731135531135531,0.8328513591671485
