,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.56,0.5454545454545455,0.31578947368421056,0.125,0.33333333333333337,0.4615384615384615,0.23529411764705882,0.608695652173913,0.125,0.5833333333333334
1,0.47058823529411764,0.7142857142857143,0.5714285714285714,0.0,0.46153846153846156,0.5333333333333333,0.5714285714285714,0.46153846153846156,0.3333333333333333,0.5333333333333333
2,0.6666666666666666,0.6206896551724137,0.56,0.10526315789473684,0.10526315789473684,0.3703703703703704,0.4166666666666667,0.5384615384615385,0.1904761904761905,0.6666666666666667
3,0.28571428571428575,0.4615384615384615,0.0,0.0,0.0,0.3076923076923077,0.0,0.2,0.0,0.3333333333333333
4,0.375,0.2,0.0,0.0,0.0,0.18181818181818182,0.0,0.2222222222222222,0.0,0.7142857142857143
5,0.1111111111111111,0.125,0.125,0.0,0.0,0.1111111111111111,0.0,0.125,0.125,0.33333333333333337
6,0.6206896551724138,0.4210526315789474,0.125,0.11764705882352941,0.2222222222222222,0.5454545454545455,0.31578947368421056,0.2222222222222222,0.11764705882352941,0.5714285714285715
7,0.6666666666666666,0.4285714285714285,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.5,0.4615384615384615,0.4615384615384615,0.18181818181818182,0.588235294117647
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.21221532091097306,0.28458049886621317,0.1658653846153846,0.7380952380952381,0.5925925925925926,0.3194444444444444,0.25,0.7380952380952381,0.7575757575757576,0.10956790123456789
11,0.6020321297525234,0.5876503398670886,0.5909123154243017,0.5803749522152877,0.5952043802511092,0.5600105575568439,0.6260523987796714,0.5556613829640146,0.5955361842458616,0.5902899532953305
12,0.7937341909157318,0.7923086879793161,0.7468018742141547,0.7331348891333411,0.6980958728372523,0.6439216336512755,0.7324294447887884,0.8067548619593442,0.7381415246546824,0.851749998345527
13,0.10960057099762982,0.19223440201162972,0.15589516756343175,0.08444683395422312,0.14484476223471696,0.10167682905004578,0.14114668277458975,0.20666149409845297,0.12832398460686012,0.16562327771422053
14,0.6986879430522341,0.5987055933484505,0.782873814082595,0.6617059382141851,0.6924515787869826,0.7485411876897764,0.8517426287163129,0.8210327114798678,0.6936292931810746,0.5898997166826871
15,0.5814579886008457,0.48649975454099165,0.6870862951922341,0.3942713471015358,0.2531686358754027,0.3522642029784887,0.20388200649524693,0.2594611528822055,0.33749599024828386,0.5305250305250304
16,0.3463008042766018,0.3698759439050701,0.4055822509719284,0.45714484748967504,0.514517609866447,0.33869810773489983,0.37888112645145894,0.3472603104956046,0.3255896466551104,0.5581283094870951
17,0.2232527726785672,0.281986531986532,0.635451003431299,0.4949600449934972,0.42135172012728933,0.20711248627915294,0.3809502336288051,0.5772436307774653,0.5545533986710457,0.2627408459294631
18,0.5304007493903686,0.5682528719990021,0.5455445941408292,0.5166356812702966,0.48246893775379646,0.5302904122395306,0.4943466774395555,0.5512638041238613,0.561564517469906,0.5586943227790918
19,0.6584187935846272,0.4651987893059321,0.6619512033305136,0.4704498154170381,0.5342153838631482,0.674266009799834,0.5646270953881103,0.6389334369668908,0.585907949364479,0.7150948661174503
20,0.8774281274281273,0.6451046798029556,0.8585046897546897,0.5601043523469994,0.8103785103785103,0.38466215920049096,0.6956260960788867,0.6731229881229881,0.8236183261183261,0.9406593406593405
21,0.3810071602076335,0.5496713608490347,0.5981865256513144,0.5218716406185396,0.4761804814712844,0.32043261901571096,0.5983168764527548,0.6933646223057989,0.5493067375832585,0.4885079315491686
22,0.3965394193391642,0.496462158531124,0.5933973589435774,0.562907268170426,0.39696342305037957,0.3884303721488595,0.5194531658817372,0.17697624504347192,0.49154892726321303,0.3733841360404889
23,0.42659136192126046,0.12080176767676767,0.25959247812950675,0.4607678909020498,0.4532726480934767,0.2054822954822955,0.4866588825335042,0.4900025311291762,0.4227426175054633,0.4316942909460815
24,0.5215526995932122,0.7245259901243674,0.7922232145337921,0.7544941056344565,0.7523900658760709,0.4302303980081437,0.7690324961893589,0.7422341696535244,0.7794660894660894,0.6278296743067865
25,0.7747888375030008,0.5986488854119554,0.7030983973291666,0.6529343218350803,0.625607462750821,0.5537584966462834,0.6803275554351595,0.6948163075165364,0.7255778746669435,0.7787902661064425
26,0.8507051282051282,0.9090909090909091,0.9277777777777777,0.8287698412698412,0.9085185185185184,0.8855727554179568,0.9566666666666667,0.9400000000000001,0.9294117647058824,0.9205555555555556
27,0.23336526403208196,0.1764612877663674,0.39458613632895284,0.3977092555139412,0.38302222449117695,0.22597054371582018,0.3243682429525881,0.39477828905083895,0.32398974482307813,0.26282870176200346
28,0.2250408525602795,0.22557589147203863,0.24070707490077525,0.1960627983459482,0.17987773181435152,0.17474846541985248,0.1571295857378123,0.16544874057276135,0.1781955898052734,0.1705169228673626
29,0.7232558139534884,0.7517945109078115,0.8552532123960694,0.7470682302771854,0.7064213564213564,0.7613510520487266,0.6586021505376345,0.7095238095238094,0.8626373626373627,0.7353801169590645
