ID,Scaffold,Activity,Canonicalsmiles
51,O=C(COC(=O)c1ccccc1)Nc1ccccc1,0,O=C(COC(=O)c1ccccc1)Nc1ccccc1
52,O=C(CSc1nnc(Cc2cccs2)n1Cc1ccco1)Nc1ccccc1,0,O=C(CSc1nnc(Cc2cccs2)n1Cc1ccco1)Nc1ccccc1
53,c1ccc2sccc2c1,0,c1ccc2sccc2c1
54,O=C(NN=Cc1ccccc1)c1nnn(-c2cnon2)c1COc1ccccc1,0,O=C(NN=Cc1ccccc1)c1nnn(-c2cnon2)c1COc1ccccc1
55,C1=C(N2CCOCC2)COCC1,0,C1=C(N2CCOCC2)COCC1
56,O=C(CNC(=O)c1ccccc1)OCc1csc(-c2ccccc2)n1,0,O=C(CNC(=O)c1ccccc1)OCc1csc(-c2ccccc2)n1
57,O=C(CC(=O)c1ccccc1)c1ccccc1,0,O=C(CC(=O)c1ccccc1)c1ccccc1
58,O=C(C=Cc1ccccc1)Nc1cc(=O)[nH]c(=O)[nH]1,0,O=C(C=Cc1ccccc1)Nc1cc(=O)[nH]c(=O)[nH]1
59,O=C(COc1ccccc1)Nc1nc(-c2ccccn2)cs1,0,O=C(COc1ccccc1)Nc1nc(-c2ccccn2)cs1
60,O=C(COC(=O)CNS(=O)(=O)c1ccc2ccccc2c1)NCc1ccccc1,0,O=C(COC(=O)CNS(=O)(=O)c1ccc2ccccc2c1)NCc1ccccc1
61,O=C(CSc1ccccc1)Nc1ccc(N2CCN(C(=O)c3ccccc3)CC2)cc1,0,O=C(CSc1ccccc1)Nc1ccc(N2CCN(C(=O)c3ccccc3)CC2)cc1
62,c1ccc(-c2nnc(Nc3ccc4c(c3)OCO4)c3ccccc23)cc1,0,c1ccc(-c2nnc(Nc3ccc4c(c3)OCO4)c3ccccc23)cc1
63,O=C(NCc1cn[nH]c1)c1ccccc1,0,O=C(NCc1cn[nH]c1)c1ccccc1
64,O=C(CSc1nc2c(sc3ccccc32)c(=O)n1CCc1ccccc1)NCc1ccco1,0,O=C(CSc1nc2c(sc3ccccc32)c(=O)n1CCc1ccccc1)NCc1ccco1
65,c1ccoc1,0,c1ccoc1
66,O=C(CCCc1ccccc1)Nc1ccccc1,0,O=C(CCCc1ccccc1)Nc1ccccc1
67,S=C(NCc1ccccc1)Nc1ccccc1,0,S=C(NCc1ccccc1)Nc1ccccc1
68,O=C(NNC(=O)c1ccoc1)c1ccccc1,0,O=C(NNC(=O)c1ccoc1)c1ccccc1
69,O=C1CC(c2cccs2)Sc2ccccc2N1,0,O=C1CC(c2cccs2)Sc2ccccc2N1
70,O=S(=O)(NNS(=O)(=O)c1ccccc1)c1ccccc1,0,O=S(=O)(NNS(=O)(=O)c1ccccc1)c1ccccc1
71,O=S(=O)(Nc1ccccc1)c1ccccc1,0,O=S(=O)(Nc1ccccc1)c1ccccc1
72,O=C(c1c[nH]c2ccccc12)C(Sc1nnc(-c2ccccc2)[nH]1)c1ccccc1,0,O=C(c1c[nH]c2ccccc12)C(Sc1nnc(-c2ccccc2)[nH]1)c1ccccc1
73,c1ccc2c(c1)CCN2,0,c1ccc2c(c1)CCN2
74,O=C(NN1C(=O)C(=Cc2ccccc2)SC1=S)c1ccncc1,0,O=C(NN1C(=O)C(=Cc2ccccc2)SC1=S)c1ccncc1
75,O=c1oc2ccccc2cc1-c1nc(-c2ccccc2)cs1,0,O=c1oc2ccccc2cc1-c1nc(-c2ccccc2)cs1
76,O=C(CCC(=O)N(Cc1cccs1)C(C(=O)NC1CCCC1)c1ccccc1)Nc1ccon1,0,O=C(CCC(=O)N(Cc1cccs1)C(C(=O)NC1CCCC1)c1ccccc1)Nc1ccon1
77,O=C(Nc1ccc2c(c1)OCCO2)c1ccccc1,0,O=C(Nc1ccc2c(c1)OCCO2)c1ccccc1
78,c1ccc2c(c1)ccc1cccc[n+]12,0,c1ccc2c(c1)ccc1cccc[n+]12
79,O=C(c1ccoc1)N1CCC2(CC1)Oc1ccccc1C(=O)C21CC(c2ccccc2)=NO1,0,O=C(c1ccoc1)N1CCC2(CC1)Oc1ccccc1C(=O)C21CC(c2ccccc2)=NO1
80,c1ccc(OCCCn2ccnc2)cc1,0,c1ccc(OCCCn2ccnc2)cc1
81,O=C(NN=Cc1ccccc1)c1nnn(-c2cnon2)c1CSc1ccccc1,0,O=C(NN=Cc1ccccc1)c1nnn(-c2cnon2)c1CSc1ccccc1
82,O=C(NN=Cc1cccc(COc2ccccc2)c1)c1ccccc1,0,O=C(NN=Cc1cccc(COc2ccccc2)c1)c1ccccc1
83,O=C(Cc1ccccc1)Nc1ccc(NC(=O)c2ccccc2)cc1,0,O=C(Cc1ccccc1)Nc1ccc(NC(=O)c2ccccc2)cc1
