ID,Scaffold,Activity,Canonicalsmiles
193,c1ccc(N2CCNCC2)cc1,0,c1ccc(N2CCNCC2)cc1
194,O=C(NN=Cc1ccn(-c2ccccc2)c1)C(=O)Nc1ccccc1,0,O=C(NN=Cc1ccn(-c2ccccc2)c1)C(=O)Nc1ccccc1
195,O=C(NN=Cc1cccs1)c1nnn(-c2cnon2)c1-c1ccccc1,0,O=C(NN=Cc1cccs1)c1nnn(-c2cnon2)c1-c1ccccc1
196,c1cc2ccc3ccc(CN4CCOCC4)c4ccc(c1)c2c34,0,c1cc2ccc3ccc(CN4CCOCC4)c4ccc(c1)c2c34
197,O=C(CCC(=O)Nc1ccccc1)NN=Cc1ccccc1,0,O=C(CCC(=O)Nc1ccccc1)NN=Cc1ccccc1
198,C(=Cc1nc2ccccc2s1)c1ccccn1,0,C(=Cc1nc2ccccc2s1)c1ccccn1
199,S=C1NC=CC(c2ccccc2)N1,0,S=C1NC=CC(c2ccccc2)N1
200,O=C1c2ccccc2-c2onc3cccc1c23,0,O=C1c2ccccc2-c2onc3cccc1c23
201,O=C(COc1ccccc1)c1ccc[nH]1,0,O=C(COc1ccccc1)c1ccc[nH]1
202,O=C1C(=Cc2ccco2)CCCC1=Cc1ccco1,0,O=C1C(=Cc2ccco2)CCCC1=Cc1ccco1
203,O=C(CSc1ncnc2ccccc12)Nc1c[nH]n(-c2ccccc2)c1=O,0,O=C(CSc1ncnc2ccccc12)Nc1c[nH]n(-c2ccccc2)c1=O
204,O=C(Nc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12,0,O=C(Nc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12
205,O=C(CSc1nnnn1-c1ccccc1)Nc1nc2c(s1)CCCC2,0,O=C(CSc1nnnn1-c1ccccc1)Nc1nc2c(s1)CCCC2
206,O=C(Nc1ccccc1)c1ccc(NC(=O)c2ccco2)cc1,0,O=C(Nc1ccccc1)c1ccc(NC(=O)c2ccco2)cc1
207,O=C(C=Cc1cccs1)N1CCC2(CC1)Oc1ccccc1C(=O)C21CC(c2ccccc2)=NO1,0,O=C(C=Cc1cccs1)N1CCC2(CC1)Oc1ccccc1C(=O)C21CC(c2ccccc2)=NO1
208,O=c1[nH]c(C2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)nc2c1nnn2Cc1ccccc1,0,O=c1[nH]c(C2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)nc2c1nnn2Cc1ccccc1
209,O=C(NCCc1nnc(SCCOc2ccccc2)[nH]1)c1ccccc1,0,O=C(NCCc1nnc(SCCOc2ccccc2)[nH]1)c1ccccc1
210,O=C(COC(=O)c1ccc2c(c1)OCCO2)Nc1cccc(S(=O)(=O)N2CCOCC2)c1,0,O=C(COC(=O)c1ccc2c(c1)OCCO2)Nc1cccc(S(=O)(=O)N2CCOCC2)c1
211,O=C(C=c1[nH]c(=O)c(=Cc2ccccc2)s1)c1ccccc1,0,O=C(C=c1[nH]c(=O)c(=Cc2ccccc2)s1)c1ccccc1
212,C(=CC1=[NH+]c2ccccc2C1)C=C1Cc2ccccc2N1,0,C(=CC1=[NH+]c2ccccc2C1)C=C1Cc2ccccc2N1
213,O=C(Cn1cc(S(=O)(=O)Cc2ccccc2)c2ccccc21)Nc1ccccc1,0,O=C(Cn1cc(S(=O)(=O)Cc2ccccc2)c2ccccc21)Nc1ccccc1
214,O=S(=O)(Nc1cccc(Sc2nc[nH]n2)c1)c1ccccc1,0,O=S(=O)(Nc1cccc(Sc2nc[nH]n2)c1)c1ccccc1
215,O=C(NCc1ccccc1)N1CCc2ccccc2C1,0,O=C(NCc1ccccc1)N1CCc2ccccc2C1
216,O=C1OC(C=Cc2ccccc2)=NC1=CC=Cc1ccccc1,0,O=C1OC(C=Cc2ccccc2)=NC1=CC=Cc1ccccc1
217,c1cncnc1,0,c1cncnc1
218,O=C(C=Cc1ccccc1)c1ccc(NC(=O)c2ccco2)cc1,0,O=C(C=Cc1ccccc1)c1ccc(NC(=O)c2ccco2)cc1
219,O=c1c(-c2ccccc2)c[nH]n1-c1ccccc1,0,O=c1c(-c2ccccc2)c[nH]n1-c1ccccc1
220,O=C1CC(c2ccsc2)Sc2ccccc2N1,0,O=C1CC(c2ccsc2)Sc2ccccc2N1
221,N=C(NOC(=O)Cc1ccccc1)c1ccccc1,0,N=C(NOC(=O)Cc1ccccc1)c1ccccc1
222,O=C(C=Cc1ccccc1)Nc1cccc2ncccc12,0,O=C(C=Cc1ccccc1)Nc1cccc2ncccc12
223,O=C(COc1ccc(-c2ccccc2)cc1)NNC(=O)Nc1ccccc1,0,O=C(COc1ccc(-c2ccccc2)cc1)NNC(=O)Nc1ccccc1
224,O=c1[nH]c(=O)c2cccnc2[nH]1,0,O=c1[nH]c(=O)c2cccnc2[nH]1
225,O=C(Nc1ccccc1)Nc1cccc2c1OC(CNS(=O)(=O)c1ccccc1)CCNC2=O,0,O=C(Nc1ccccc1)Nc1cccc2c1OC(CNS(=O)(=O)c1ccccc1)CCNC2=O
226,O=C(CC1OCCO1)NN=Cc1cccs1,0,O=C(CC1OCCO1)NN=Cc1cccs1
227,O=C(NCC1CCNC(=O)c2cccc(NC(=O)Nc3cnoc3)c2O1)Nc1ccccc1,0,O=C(NCC1CCNC(=O)c2cccc(NC(=O)Nc3cnoc3)c2O1)Nc1ccccc1
