ID,Scaffold,Activity,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,C(=Cc1cc[nH+]cc1)c1ccccc1,1,2.9970608150667672,2.9970608150667672,1.201484315948602,1.201484315948602,0.6776394256412409,182.246,170.14999999999998,182.09642580409,68.0,0.0,0.1670615047261867,-0.21777693181500615,0.21777693181500615,0.1670615047261867,0.7142857142857143,1.2857142857142858,1.9285714285714286,14.600931351500142,10.150552210491094,1.8667999663860264,-1.9056614426048506,2.0516756547403037,-1.9575126101216112,5.684675064937131,-0.37752082852763086,2.2924875731149372,2.159341417811232,362.26540084816236,9.639981912617825,7.850852961085886,7.850852961085886,6.949489742783179,4.642734410091838,4.642734410091838,3.0773502691896266,3.0773502691896266,2.011822940061226,2.011822940061226,1.2674974764568698,1.2674974764568698,-1.8899999999999997,2714.3052865680856,8.696948085233146,4.375475831313352,2.2975582741247687,83.74842650311649,0.0,0.0,12.393687143226153,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,42.483875555975814,11.126902983393991,12.13273413692322,0.0,4.9839785209472085,12.152040213667762,0.0,0.0,0.0,0.0,0.0,65.98515960585142,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,0.0,0.0,0.0,11.126902983393991,54.85825662245742,0.0,12.152040213667762,0.0,14.14,0.0,0.0,0.0,0.0,0.0,0.0,11.126902983393991,0.0,42.7255224855342,29.26875287153819,0.0,0.0,0.0,2.9970608150667672,0.0,2.424014550264551,0.0,14.36281352355757,8.049444444444443,0.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.671100000000001,58.36770000000003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,O=C(Nc1ccnc(-c2cccnc2)n1)c1ccccc1,1,12.078022486772486,12.078022486772486,0.20237344629209653,-0.20237344629209653,0.7983508090679826,276.29900000000004,264.203,276.101111004,102.0,0.0,0.2563135710637752,-0.3064429054150994,0.3064429054150994,0.2563135710637752,0.9523809523809523,1.8095238095238095,2.5714285714285716,16.14933136159772,10.189550460628686,2.073973602548742,-2.055106330719781,2.145606688667844,-2.1267846758925377,6.032515140988024,0.10216889398947597,2.5660274412239805,1.8262336353335247,744.493589233618,14.493353063746348,11.100742038049624,11.100742038049624,10.326499840494922,6.42625021403075,6.42625021403075,4.327337866259122,4.327337866259122,2.8528931139007505,2.8528931139007505,1.8404470861423097,1.8404470861423097,-3.079999999999999,103626.45218638923,12.928854695892007,5.91747421781339,3.088798195581064,121.28086187251297,5.316788604006331,5.817862777835028,5.824404497999927,0.0,5.907179729351506,0.0,9.77851570501903,9.967957041894417,0.0,0.0,18.19910120538483,30.33183534230805,29.71743369823322,0.0,4.794537184071822,11.725042507186533,0.0,14.951935562841626,0.0,0.0,5.316788604006331,72.6849187542291,0.0,11.387855989696924,5.316788604006331,5.817862777835028,0.0,0.0,20.85911529219313,0.0,0.0,10.357988675768818,67.12146726253211,0.0,11.387855989696924,0.0,67.77000000000001,0.0,4.794537184071822,0.0,5.907179729351506,17.205718767531952,5.563451491696996,0.0,36.78963192022406,30.33183534230805,20.268724166847957,0.0,0.0,0.0,24.62261016984592,2.7579050925925923,1.3818056605358193,0.7760226652389357,14.32415565067982,4.970834094440245,0.0,0.0,0.0,21.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,3.0,2.7909000000000006,79.65820000000002,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,c1ccc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)nc1,1,4.676864134542706,4.676864134542706,0.07731481481481484,0.07731481481481484,0.4692981146317317,323.39900000000006,306.26300000000003,323.14224754400004,120.0,0.0,0.0554605013072876,-0.3608535583242276,0.3608535583242276,0.0554605013072876,0.64,1.2,1.76,14.725226156398323,9.873997319841969,2.2331124693019753,-2.1579817653546276,2.3781692876019274,-2.039264329965554,5.88402651723511,0.9341180776925555,3.2867239135420836,1.807190964757131,1077.546396899174,16.63961743368832,13.60746763334435,13.60746763334435,12.415816237971967,8.445907302634897,8.445907302634897,6.266817183484038,6.266817183484038,4.848029846655558,4.848029846655558,3.6984997388534997,3.6984997388534997,-3.3299999999999987,1754729.3098575016,14.050381847515037,5.635830928461007,2.2434825052641476,144.91183153246715,9.967957041894417,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,42.46456947923127,35.392371257240434,40.396380579001345,11.611834041009853,0.0,21.805849864162113,0.0,14.951935562841626,0.0,5.917906046161393,0.0,102.14139944615941,0.0,0.0,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,22.738737024403843,85.32056846791694,0.0,21.805849864162113,0.0,44.47,0.0,0.0,0.0,5.917906046161393,0.0,16.727329430080985,21.899351412323583,0.0,12.263210640074686,88.0092933906839,0.0,0.0,0.0,11.497711797682037,2.4785818216175364,5.85338613840598,0.07731481481481484,22.99221555597547,6.100789871504157,0.0,0.0,0.045454545454545456,25.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,5.0,5.224400000000004,101.77940000000001,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,O=C1NC(=Nc2ccccc2)SC1=Cc1ccccc1,1,11.898201845553036,11.898201845553036,0.10320908919123206,-0.10320908919123206,0.8542718427783609,280.35200000000003,268.256,280.067034004,98.0,0.0,0.2636284747542915,-0.30024144917504675,0.30024144917504675,0.2636284747542915,0.95,1.6,2.3,32.166656778670614,10.186081581119582,2.230467743672442,-1.9450809036315222,2.27230472331769,-2.188385153436111,8.183547537258391,-0.114682888767136,2.8082953844165255,1.8257353439511994,678.1377647579593,13.7862462825598,10.61456313751357,11.431059718441297,9.809663088089318,6.208303505431297,7.024800086359023,4.227963279999653,5.2586121619260195,2.735058805727196,3.6449168757549635,1.8009434540614981,2.6427668385464065,-2.3299999999999987,66590.30015528465,12.691093079016794,5.754764573157265,2.9746987528722015,120.98264839231112,5.316788604006331,0.0,5.167651769578048,0.0,5.907179729351506,0.0,4.794537184071822,4.992404732635669,0.0,0.0,48.53093654769288,35.53409068484521,0.0,10.592522788573609,4.794537184071822,34.600122829838114,0.0,5.316788604006331,4.992404732635669,0.0,0.0,71.13225869020314,0.0,0.0,5.316788604006331,5.687386274683562,0.0,11.761884949391115,11.074831498929553,4.794537184071822,0.0,5.563451491696996,70.56121193114183,0.0,6.076020106833881,0.0,41.46,0.0,4.794537184071822,0.0,5.907179729351506,10.072788283468094,11.250837766380558,11.761884949391115,0.0,66.73969079144999,10.309193336642,0.0,0.0,1.3588917233560087,16.963614890400603,3.3926665249433103,1.8355298353909468,-0.10320908919123206,19.350607966952214,1.8685648148148148,0.0,0.0,0.0,20.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,4.0,2.0,0.0,1.0,1.0,3.0,3.5782000000000016,83.68970000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,O=C1Nc2ccccc2C(=O)N2C1C(c1ccccc1)C1COc3ccccc3C12,1,13.79819523179642,13.79819523179642,0.0071645880574451315,-0.5999480347694639,0.6765230387486587,396.44600000000014,376.2860000000002,396.14739249999997,148.0,0.0,0.25670074742652416,-0.4928165167355358,0.4928165167355358,0.25670074742652416,0.8333333333333334,1.5666666666666667,2.433333333333333,16.479871942568625,9.788880823407245,2.575241274579107,-2.3417299347697784,2.54695726786391,-2.4358677627151177,6.1043047674208974,-0.11987851062703327,3.102725013978853,1.584993262541024,1159.820036290768,20.24191172926027,16.194019824301737,16.194019824301737,14.737183443017885,10.230709982685422,10.230709982685422,8.086083779066781,8.086083779066781,6.578250314585359,6.578250314585359,5.371661748244626,5.371661748244626,-3.5999999999999988,17525121.696456756,17.27476165361678,6.455392391230109,2.350059453032105,173.8289781552194,14.953561288656857,11.791352662431866,0.0,5.907179729351506,5.907179729351506,0.0,9.589074368143644,0.0,0.0,0.0,60.6636706846161,23.762552697081826,17.39926358401978,23.899560560041436,14.325937321943693,17.501745733386574,0.0,4.899909730850478,5.917906046161393,18.001587704457314,11.923670568519249,95.55312636509194,0.0,5.749511833283905,10.05365155780638,5.687386274683562,5.749511833283905,0.0,29.36299198321437,4.794537184071822,5.917906046161393,33.44463853447216,78.86277189000094,0.0,0.0,0.0,58.64,6.041840829147961,9.589074368143644,0.0,29.69201238017376,17.857719730893475,16.876414816677897,0.0,12.13273413692322,71.62994748392819,5.316788604006331,4.736862953800049,6.09671130952381,0.0,29.105882149155956,3.015386038674729,3.129620732552281,0.3751397287309979,24.308561849122366,0.0,0.468698192239859,0.0,0.2,30.0,1.0,5.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,5.0,1.0,0.0,1.0,1.0,6.0,3.996800000000003,112.38020000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,O=c1c2ccccc2n(CCCN2CCCC2)c2ccccc12,1,12.701560624670744,12.701560624670744,0.14536380910388869,0.14536380910388869,0.6876253388052136,306.40899999999993,284.233,306.17321332399996,118.0,0.0,0.19671679479705415,-0.3402330839223478,0.3402330839223478,0.19671679479705415,0.782608695652174,1.3478260869565217,1.9565217391304348,16.132136432971574,10.093521932270848,2.1241489810119476,-2.1780236875724346,2.194888664864484,-2.2174479989633413,5.928708059746047,0.3266165340593063,3.1125584305915615,1.755178973092295,830.9167536474389,15.6480536021256,13.371225103286623,13.371225103286623,11.343336592900531,8.570949343178492,8.570949343178492,6.417361183021181,6.417361183021181,4.933687988431946,4.933687988431946,3.776455910915171,3.776455910915171,-2.1299999999999994,437501.2130039499,14.461500111710391,6.167530049637507,2.6568209921554744,135.6944710680034,9.467009378641833,0.0,5.428790391900541,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,24.26546827384644,63.162202360362194,17.317204834842165,11.033401435232523,0.0,21.805849864162113,0.0,9.467009378641833,0.0,25.807221274690605,19.634269217737724,58.75426412366524,0.0,0.0,5.428790391900541,0.0,0.0,0.0,29.101278596379558,6.544756405912575,0.0,19.26246486877803,53.3254737317647,0.0,21.805849864162113,0.0,25.240000000000002,0.0,4.794537184071822,0.0,5.428790391900541,0.0,41.31618429891328,25.93115605767717,0.0,36.39820241076966,21.599743515565052,0.0,2.3215655706727136,0.0,15.250081190304405,1.6525416771646935,2.2520711031326117,0.0,15.973609896897234,3.796254874207616,4.58720902095406,0.0,0.35,23.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,4.0,0.0,1.0,1.0,4.0,3.6406000000000027,96.00500000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,c1ccc(-c2sc3ccccc3c2-c2ccc(OCCN3CCCC3)cc2)cc1,1,6.003580792854331,6.003580792854331,0.759914393800577,0.759914393800577,0.3571621493616004,399.55900000000025,374.35900000000015,399.16568542000005,146.0,0.0,0.11890334690733928,-0.49226405064127593,0.49226405064127593,0.11890334690733928,0.7586206896551724,1.4827586206896552,2.2758620689655173,32.13353314958054,9.986620046907378,2.153982762301298,-2.1475506843359766,2.443297230491089,-2.245143287070684,7.226204379456203,0.23756445007265772,3.426880246713546,1.4243520026152519,1078.8643808444363,19.468044558434503,16.51190436301211,17.328400943939837,14.382142733160752,10.409131945099627,11.225628526027352,7.589957714337456,8.642156555660696,5.649375687897227,6.869235407872005,4.141516770596895,5.371902528959531,-2.619999999999999,12397794.771602241,18.411216614998693,8.399184390047486,3.9345968949834274,175.92481976633238,4.736862953800049,12.356393797796823,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,11.336785877934737,60.6636706846161,55.257160246455996,27.071499222244768,0.0,4.736862953800049,21.422930008868633,0.0,4.899909730850478,0.0,12.841643245852019,26.241151182250643,78.86277189000094,0.0,27.31701350207619,4.736862953800049,0.0,5.749511833283905,11.336785877934737,31.14106091310112,0.0,0.0,12.841643245852019,78.86277189000094,0.0,31.65364579972618,0.0,12.47,0.0,0.0,0.0,0.0,0.0,18.9011502037094,57.584801857403356,0.0,11.336785877934737,83.76268162085144,4.736862953800049,7.329777787622789,1.8672367273666666,3.812369654205423,1.3185692840675707,3.836344814571311,0.9525399974804738,28.011400834867317,2.652861462052011,4.218899437766439,0.0,0.23076923076923078,29.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,4.0,3.0,0.0,3.0,6.0,0.0,1.0,1.0,5.0,6.709900000000007,123.86600000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,c1ccc(CCN2CCN(c3nc4ccccc4n4cccc34)CC2)cc1,1,5.004446983274995,5.004446983274995,1.0287400006298815,1.0287400006298815,0.5548898697415018,356.4730000000001,332.2810000000001,356.200096768,136.0,0.0,0.15327392136893034,-0.35229259732160684,0.35229259732160684,0.15327392136893034,0.7407407407407407,1.4814814814814814,2.3333333333333335,15.289963717278091,10.130506595307303,2.2028961405833667,-2.3544369103942118,2.2569115025599316,-2.469384252047931,5.84593020499904,0.2603773603690659,3.231239276638247,1.3231244079086115,1045.8110137092478,18.053830996061414,15.459698299394633,15.459698299394633,13.382142733160752,9.754300772148584,9.754300772148584,7.251842691494796,7.251842691494796,5.576845666663035,5.576845666663035,4.054852000612208,4.054852000612208,-2.849999999999999,4345008.680424131,16.332863308399247,7.045752075420787,3.1705840411680835,159.21145910671225,9.300604337112272,0.0,5.817862777835028,0.0,0.0,0.0,4.899909730850478,4.9839785209472085,0.0,0.0,42.46456947923127,36.249741388469445,38.92062560117595,16.550102152848787,0.0,22.36796493068381,0.0,14.28458285805948,0.0,6.4208216229260096,37.62369176041335,78.49033281638779,0.0,0.0,4.899909730850478,5.817862777835028,0.0,0.0,47.00836488762235,6.4208216229260096,0.0,5.563451491696996,72.9268813246908,0.0,16.550102152848787,0.0,23.78,0.0,0.0,0.0,0.0,0.0,50.479167147940174,16.59685292692952,0.0,0.0,87.12739539265357,4.9839785209472085,2.2633371913580245,0.0,10.01900149952594,0.0,4.849916024300807,1.1124160869326816,23.458833951189337,3.260882448913654,5.368946131112887,0.0,0.2608695652173913,27.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,5.0,3.8522000000000025,111.49700000000004,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,c1ccc(CCN2CCN(c3nc4ccccc4n4cc(-c5ccccc5)cc34)CC2)cc1,1,5.139229359188324,5.139229359188324,1.0016272203325773,1.0016272203325773,0.3654226687071956,432.5710000000002,404.34700000000026,432.231396896,164.0,0.0,0.15329710238683739,-0.35229228332396084,0.35229228332396084,0.15329710238683739,0.6666666666666666,1.3636363636363635,2.1515151515151514,15.290226854773648,10.105226735370778,2.2137394670891672,-2.3544365903942928,2.3106616030261917,-2.4693909828893235,5.8786830312955685,0.26037742353898213,3.344890610650746,1.286629823705478,1366.7300941079152,22.036958659186848,18.769099376153136,18.769099376153136,16.348469228349536,11.825667977194502,11.825667977194502,8.838458953815175,8.838458953815175,6.755141985442262,6.755141985442262,4.904464862495431,4.904464862495431,-3.6299999999999986,103660782.41830537,20.01075864416473,8.719321195903712,3.983863900406324,194.26855331277622,9.300604337112272,0.0,5.817862777835028,0.0,0.0,0.0,4.899909730850478,4.9839785209472085,0.0,0.0,72.79640482153933,35.74682581170483,44.484077092872944,16.550102152848787,0.0,22.36796493068381,0.0,14.28458285805948,0.0,6.4208216229260096,37.62369176041335,102.75580109023426,0.0,11.126902983393991,4.899909730850478,5.817862777835028,0.0,0.0,47.00836488762235,6.4208216229260096,0.0,5.563451491696996,97.19234959853726,0.0,27.677005136242776,0.0,23.78,0.0,0.0,0.0,0.0,0.0,55.995867865556434,22.20705519270725,0.0,0.0,111.39286366650003,4.9839785209472085,2.321207561728395,0.0,10.185700027702643,0.0,7.268388035448476,1.0959171262372922,32.173214866954766,3.367796117533117,5.254442931061971,0.0,0.20689655172413793,33.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,5.0,4.0,0.0,4.0,5.0,0.0,1.0,1.0,6.0,5.519200000000005,136.9329999999999,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,c1ccc(C(c2ccccc2)N2CCN(CCCOc3cccc4ncc5cccn5c34)CC2)cc1,1,6.2649444174411215,6.2649444174411215,0.3086827209050469,0.3086827209050469,0.2705322091902345,476.62400000000014,444.3680000000003,476.257611644,182.0,0.0,0.14501956803079996,-0.4912558267312708,0.4912558267312708,0.14501956803079996,0.75,1.4722222222222223,2.1944444444444446,16.477558228421145,9.962038075335293,2.256635004973822,-2.3946081512644417,2.295072049865825,-2.4770472355497137,5.837774227157447,0.1047936836227857,3.425946741185542,1.054278679955762,1368.8018955499454,24.158279002746486,20.539154986182794,20.539154986182794,17.865305980755142,12.906106518350484,12.906106518350484,9.48866440828298,9.48866440828298,7.213704051788095,7.213704051788095,5.412302213528069,5.412302213528069,-3.669999999999999,456532344.1552493,22.77248971083413,10.524555096902459,4.722459810804765,212.11198277107633,14.037467290912321,11.266212550900168,0.0,0.0,0.0,0.0,9.883888251797686,0.0,0.0,0.0,66.73003775307771,41.81319288016644,38.92062560117595,29.87896780050648,4.736862953800049,16.550102152848787,0.0,19.184492588909958,0.0,12.462662452073971,39.33066399407579,114.51609615354432,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,58.51515658298575,0.0,0.0,23.58956543546796,103.38919317015032,0.0,16.550102152848787,0.0,33.010000000000005,0.0,0.0,0.0,0.0,12.648722793660879,61.444217638621566,11.126902983393991,0.0,24.395944776997908,98.17774098206237,4.736862953800049,8.424448210520922,0.0,9.794387351852828,0.0,5.8192349521425,0.9029475137816104,32.35530852262097,4.988110360324084,6.048896422090416,0.0,0.25806451612903225,36.0,0.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,5.0,0.0,5.0,8.0,0.0,1.0,1.0,6.0,5.663600000000005,145.5499999999998,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
