ID,Scaffold,Activity,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,O=C1CCCC=CC(=O)OC2CC(CCCC=CC=CCCCCC(=O)CCC1)OC1(CCCCO1)C2,1,-1.3708426,12.718127,-1.758691,-18.452997,-4.037571,-11.340439,-10.943349,-11.003329,5.3897963,-2.043175,29.433819,-16.02123,-4.6829405,3.334344,-15.784068,-0.04767579,-7.020014,1.8197043,-1.6868544,-20.921238,-18.230309,32.24595,-25.359016,-3.0160475,19.614628,10.829418,-2.1479743,-20.809824,24.813364,-0.37818503,-19.576668,4.81517,26.781128,-8.562859,-7.2688875,-4.340867,6.3091855,16.04188,-10.921756,16.555443,13.400542,-1.1337016,12.919106,-19.646751,-2.8821478,-15.256988,-16.351063,3.587737,30.9161,23.420525,18.963787,-7.241382,-4.3218565,16.774853,-6.043334,5.477844,8.231709,-10.24326,19.088337,2.0185406,-5.6070127,-13.339384,0.36040807,16.800571,-21.275871,-17.199104,1.1190808,19.380625,4.5605655,12.311327,-0.869977,1.2850429,12.425437,1.8652512,-21.210491,-7.762926,-8.410812,-5.1668944,-13.470373,-18.020136,14.633281,13.664155,2.9437573,-8.254082,-25.844528,30.247898,-2.8596983,24.017479,-8.1450405,-1.2558638,28.295656,2.57512,-11.484325,-15.682641,28.295599,-36.103916,13.949616,8.017443,-28.90432,-0.10714753
11,c1ccc(-c2sc3ccccc3c2-c2ccccc2)cc1,1,-0.6628877,3.1655884,-4.469741,-4.550928,-6.8710585,-2.8494756,-4.8498063,-4.4379373,-7.902124,-10.636015,18.527458,-6.7670293,2.544741,-5.8313656,-6.9320407,-2.0136974,0.76339537,7.851652,-5.295692,-5.9731197,-9.9652605,7.237951,-11.806176,2.9706526,-3.6452415,-5.6123347,-2.6468682,-5.954237,-0.8850875,3.2851562,-1.1608446,12.626638,15.526286,2.7505608,-6.7944374,-12.88875,9.967497,9.895726,-8.519802,11.588876,14.00708,-10.426596,3.8780174,-7.130055,-1.8064622,-9.783262,-7.9672685,2.2396054,11.17295,7.8451476,3.6432872,6.0454116,-5.089115,-1.6967044,5.578792,11.990502,-2.4133563,-4.410161,7.8162603,2.0332613,-4.354591,-1.3536756,10.005589,3.2868316,8.240264,-6.1258874,-3.5886035,17.489107,-4.42599,15.218903,1.6082515,-7.7109094,6.4827547,1.7120967,-10.068723,-3.9813862,5.241938,4.9610243,0.74312323,-13.853077,16.268225,7.043826,9.025366,-6.4571376,-17.126781,12.139057,2.1123068,22.10518,2.4729297,0.68971205,12.655446,8.05713,-5.2033014,-11.487562,6.8022714,-19.600473,0.18746522,16.762743,-5.398252,-6.036959
12,O=C1Nc2ccccc2C12NC(Cc1ccccc1)c1cn(-c3ccccc3)cc12,1,-0.46920705,8.184228,-4.373626,-6.5545077,-15.594686,-7.714473,-9.51047,-8.659784,-7.4895864,-8.416818,20.361317,-8.901624,5.1687794,-11.085148,-12.793421,0.1218334,-6.584482,9.53265,-1.4471449,-17.820967,-13.127392,10.470495,-21.499847,4.757913,1.5183343,-2.3490736,-5.1234064,-6.9226933,-2.0228431,-1.846626,-6.6014366,15.430819,21.926031,3.4371107,-10.417444,-11.603186,14.448682,13.82401,-6.518886,14.539671,17.105698,-5.436344,5.1112924,-10.252672,-6.315041,-13.195599,-15.291239,3.274998,21.532024,11.936472,6.980829,6.926594,-5.032448,-0.6934041,9.323992,16.519258,-6.9474096,-7.337119,13.370467,1.9890405,-5.4446464,-1.8052757,11.4091215,2.3548102,0.26079503,-13.693243,-3.3455172,22.741589,-4.4561577,19.467354,-1.7394346,-12.291637,7.038399,2.3224654,-9.616578,-5.9049296,3.394218,9.171506,2.1091638,-22.514168,19.591663,9.605615,7.818399,-9.385033,-21.031519,19.86518,3.4004223,31.735744,5.639006,-3.2753565,16.218685,7.9901114,-11.535888,-15.157671,8.499593,-25.43892,4.150585,22.969183,-12.766199,-5.9170485
13,O=C(COC(=O)CNC(=O)c1ccccc1)Nc1cccc(S(=O)(=O)N2CCOCC2)c1,1,2.8227444,-1.2491184,-2.1936707,-0.71111584,-6.2435074,-8.897416,-11.313087,-12.322299,-6.3160605,-13.893944,20.875515,-6.1088424,5.415278,-3.8754802,-16.79122,-7.480861,-3.6300871,1.8158464,-5.904953,-16.256279,-5.902118,16.09456,-18.120728,12.188433,3.917372,-6.1715264,-5.5930433,-4.3315244,4.80843,-2.1218436,-1.4722439,15.643475,19.872429,0.24869263,-12.865815,-11.6244955,16.952059,14.505754,-14.564764,20.083193,6.920934,-12.495536,7.1424637,-0.6404771,-0.17791,-10.7263775,-21.334085,0.11102003,24.879997,14.771682,10.986355,10.592631,-0.36165783,1.7043324,5.8255515,11.446977,-1.2700591,-3.9346862,6.4994836,-5.988414,-6.0827503,-7.4533587,5.4262314,6.3414474,-6.056814,-6.622251,-0.6047394,22.980183,-0.8892628,19.3174,-8.838336,-11.926398,8.82494,-6.1595187,-20.179398,-3.5937517,2.6849675,2.0042531,0.7211287,-17.919886,13.424081,12.155382,11.20726,-8.206893,-27.811172,18.11677,3.9893718,35.902756,-5.924304,-0.9916234,26.320446,2.7498472,-1.8302978,-16.967196,10.497617,-31.603003,8.295938,20.806717,-15.521941,-6.260703
14,O=C(CNC(=O)c1ccccc1)OCC(=O)c1c[nH]c(=O)[nH]c1=O,1,4.75587,-0.6728159,-2.87024,-1.8259071,-8.603988,-7.815589,-5.7544093,-9.363979,-3.899262,-6.823173,13.132656,-3.9638107,6.7966614,-4.5803227,-11.877093,-6.941246,-1.4296051,2.5936394,1.2426131,-9.903406,-3.215073,12.99602,-12.669892,9.259023,5.2247567,-6.0762315,-4.101171,-6.0223465,0.056964964,-4.6246595,4.2515817,12.013689,13.363019,1.7473963,-12.431065,-9.4990015,15.83762,15.4311285,-8.191123,13.0300045,2.3762078,-9.979227,5.1360946,-1.5357542,-2.6687834,-6.772036,-18.633457,3.6734421,20.064005,11.001008,5.9876547,8.8138685,3.0877438,-1.4363319,4.238258,8.084773,-8.580781,-2.8567824,5.666817,-4.4959154,-10.280859,-3.148736,9.172625,1.3250613,-3.107422,-7.128906,0.90706587,15.503922,-4.0189953,13.508603,-5.3426056,-13.7537365,8.153532,1.0414429,-10.159618,-4.1630087,3.6157627,8.2214775,1.2968106,-14.984924,4.4524455,7.623474,6.219946,-6.091872,-19.358673,12.819915,0.5553821,28.362587,-0.22950944,-2.553456,17.285967,3.110625,-1.792597,-12.9932995,6.587343,-23.327099,6.7672257,17.413248,-18.322557,-2.339912
15,c1ccc(-c2ccccc2)cc1,1,-0.60071564,1.1604114,-3.1664515,-1.4706513,-3.593582,-1.6932015,-3.2297914,-2.642312,-4.087397,-5.7718263,10.738648,-3.2699702,2.7888722,-4.3888206,-4.7754545,-0.6302928,0.48843932,4.2804523,-3.1723785,-4.72476,-5.971636,3.304977,-8.096881,1.3867285,-2.157863,-4.664245,-2.6519885,-3.4022615,-1.265338,1.4717343,-1.9721438,8.188158,8.684484,0.9739024,-3.895082,-8.345861,5.504704,5.1022863,-4.906392,6.874628,7.3387156,-5.8289986,2.6051364,-3.6393197,-1.6574684,-5.449454,-5.082442,0.4227551,6.9056864,4.857103,2.1767163,3.027311,-2.5332477,-1.6504842,4.033374,6.888148,-1.899312,-3.7272403,5.7636156,1.3507799,-2.1104827,-1.4579567,5.9922605,2.3798294,5.5982184,-4.000177,-3.6680071,11.060424,-2.8248367,9.550661,0.794946,-5.1268773,2.5518265,1.9902046,-6.382325,-2.2624936,1.9110112,2.9078875,0.16555291,-8.525471,9.859342,4.9435425,5.023304,-3.8557713,-9.6615925,6.4605074,2.5222487,13.352772,1.7727442,1.1104459,6.825014,5.066887,-3.3602734,-6.9994397,3.7446043,-10.935474,-0.5341433,9.253758,-3.3989606,-2.810038
16,c1ccc2c(c1)Nc1ccccc1S2,1,-0.87627655,3.4338756,-2.2336493,-2.5037458,-6.8285966,-2.4231603,-4.509986,-3.7001421,-3.3630652,-6.082024,8.917974,-3.187992,2.4092562,-5.517941,-4.6903253,1.1291347,-0.70705855,5.051992,-2.7105165,-6.791339,-5.9617143,5.205498,-9.528393,-0.2881766,-1.440883,-1.8030641,-0.87264353,-0.87161124,-0.61637557,-0.3060289,-2.1126244,6.277997,11.149035,2.978636,-3.3069208,-5.2166834,6.639094,8.602569,-1.0834291,6.067795,8.965767,-5.424514,3.7198365,-5.724098,-0.34161037,-7.3046994,-5.588201,2.7119246,7.4253054,5.8406157,2.7858016,3.863801,-4.0067124,0.53430647,4.6923018,7.1344104,-2.3278697,-3.7850916,7.135467,-0.23043573,-4.7499986,-0.9135115,4.973213,1.467422,0.8315661,-4.992306,-2.650847,11.724706,-1.3889151,9.464767,2.4955564,-3.9793687,3.7618494,0.8579643,-7.938101,-1.5149997,3.506737,3.8538537,2.8396025,-9.595526,10.671237,2.2712357,6.4982843,-4.4974637,-9.056577,8.351559,1.9518948,14.94503,3.9395928,-2.4681375,7.794559,5.468707,-5.990613,-4.748507,1.368746,-13.352514,2.9538727,13.469924,-4.5205507,-4.958919
17,O=C1NC(=S)NC(=O)C1=Cc1cc2ccccc2[nH]1,1,3.3805554,8.576414,-6.7618203,-5.630643,-10.294757,-4.872254,-2.249988,-8.444576,-2.6943095,-4.7736964,10.975458,-9.560249,1.1924007,-5.971316,-7.532868,4.473942,-2.973513,8.208183,2.2377458,-8.416806,-4.976616,6.056138,-8.932844,0.037048526,5.608702,1.3979335,3.2346706,-4.281832,-1.1160347,-0.9850174,-1.7740517,7.45516,14.541991,7.328343,-7.8870754,-1.8624586,11.491378,16.08613,-3.5084825,8.013671,5.499989,-7.46355,3.1318123,-4.5660367,-2.1866996,-13.691393,-6.5307164,2.9081895,13.06948,6.931459,3.748814,4.816167,1.7638863,0.7139028,6.4443994,9.118172,-5.157581,-4.314111,7.5383244,-2.8867562,-10.269331,0.59869796,6.6699185,-0.43858117,1.0123472,-7.63069,0.38032892,16.51956,-0.7032424,9.48724,3.3211267,-5.8903456,8.510141,4.8709645,-5.4686728,-4.7791924,1.8442758,8.610584,6.3067813,-16.163218,8.481785,2.0149336,3.9815152,-6.977662,-10.154504,11.141797,-3.1630528,20.055286,4.8144183,-2.6455534,12.768162,3.13672,-6.832558,-2.9211407,8.011482,-18.188208,4.478637,18.536633,-11.873894,-5.555474
18,O=C1COC(=O)C(Cc2ccccc2)NC(=O)COC(=O)C(Cc2ccccc2)NC(=O)COC(=O)C(Cc2ccccc2)N1,1,6.426817,14.616587,-2.763468,-2.9363275,-18.724274,-7.649873,-14.198799,-13.006858,-7.299132,-4.5935802,33.35378,-19.665377,3.4837594,-13.375986,-17.662378,1.7883402,-11.70947,6.557419,9.729829,-28.403881,-21.286829,23.104675,-31.915705,3.571149,-2.6233463,0.102224976,-6.9051633,-16.079176,1.1385016,-10.403902,-7.936522,22.270926,35.10305,-0.53095037,-15.47286,-17.262098,25.005713,29.88469,-9.875671,18.219198,17.702217,3.9535427,9.50258,-12.224221,-5.290289,-18.579681,-22.608343,7.2624745,29.487558,17.726265,11.330499,3.6231148,-4.5498996,7.205864,5.570691,21.090206,-12.505754,-13.76127,14.469433,1.0395566,-13.986073,-10.495033,9.2449875,4.4591484,-12.57185,-21.678959,-0.15065862,27.739603,-3.3867168,26.32626,0.7637341,-14.838355,16.179705,4.634667,-11.478824,-10.297757,0.751845,7.3694773,3.3674905,-34.451527,16.887913,7.8551526,8.685439,-12.52938,-31.900953,33.892517,2.9872098,56.019825,5.023465,-4.8787107,26.021994,12.666463,-2.8973799,-21.107662,26.221315,-38.506332,15.420191,34.265614,-34.84112,-4.6501718
19,O=C(CSc1nnc(Cc2ccc[nH]2)n1-c1ccccc1)Nc1ccccc1,1,-2.2658055,-1.1545097,-5.001656,-0.19291672,-11.603962,-8.1405945,-9.664321,-4.777578,-7.4706683,-13.628025,19.780876,-8.960459,4.1457324,-9.153461,-7.583515,-5.3711686,-4.2168045,6.2306514,-4.6324024,-9.481475,-8.444293,9.665289,-11.465314,8.69525,-0.19369735,-6.793947,-6.1693664,-8.899009,-2.4742544,-1.6776458,3.0921319,14.756401,17.0948,1.5821943,-9.163683,-15.250841,17.540766,12.590215,-8.1002445,16.473274,12.2195,-11.110387,3.0213976,-5.0553994,-3.395525,-13.367552,-15.8862915,3.9189794,19.783188,6.132868,7.949757,10.327289,-1.2847162,-5.192511,6.9803047,11.138971,-4.248028,-6.7065544,10.467319,-1.6001766,-8.284472,-3.4951334,6.8842463,-0.059598,4.353807,-5.766878,-1.6706034,19.453953,-4.894779,13.834325,3.4716241,-13.782817,8.526842,0.7406241,-12.572095,-4.813952,3.7541256,7.6439962,1.920387,-21.294611,15.758505,8.710705,5.495623,-7.609996,-25.06767,15.52738,3.2751775,29.27966,3.5482533,3.1237679,16.817947,5.573591,-3.1660078,-17.772573,6.3800635,-27.944098,1.298169,17.394798,-9.999441,-2.340525
