rdk5,rdk6,rdk7,mordred,avalon,ph4,gnn,Activity
0.8176268310913979,0.97468024,0.9810673553498004,0.8555623710361824,0.8642779776178937,0.9926803649530436,0.9819288849830627,1
0.8508662354491728,0.98008007,0.9924541866714628,0.7741657969532861,0.7202509912261035,0.9840718675413885,0.9231053590774536,1
0.6660983667454569,0.9333367,0.9407210513325955,0.781631586036705,0.6134462869995093,0.9925013607767635,0.6780191659927368,1
0.9780188414545264,0.99569064,0.9997405349699892,0.9895142357148747,0.9740056545853275,0.9999999999999951,1.0,1
0.9782156724944923,0.99569064,0.9995395919784176,0.9890883584799822,0.974140798578394,0.9999999999999951,0.9999942779541016,1
0.9377274799979751,0.9906123,0.9950974832807267,0.9340716274840493,0.9239644255220696,0.9999040346375409,0.9910004138946533,1
0.9387060230655502,0.9916922,0.9964013429832929,0.9204240299139176,0.9380107485542326,0.9999040346375409,0.9953141212463379,1
0.8727734984258538,0.97658986,0.9925581604041398,0.977714640402325,0.9120450855708307,0.9999999999826634,0.9999445676803589,1
0.6869844960815351,0.91465664,0.9050948695119135,0.8526050706623255,0.7148297881475604,0.9576358916445441,0.9158831834793091,1
0.8739697556121119,0.9787335,0.9931518030943965,0.9742735468964491,0.9467103244109089,0.999829586357319,0.9974013566970825,1
0.8818270007506839,0.981091,0.9875899728955048,0.8733327414857296,0.8441403737127976,0.9967980051021756,0.9765868782997131,1
0.9866924468895444,0.9982488,0.9998832453454115,0.9830598350941507,0.9848253030775267,0.999999999875117,0.9999530911445618,1
0.9866924468895444,0.9982488,0.9998832453454115,0.9777575482522551,0.9867734803540994,0.9999999997260491,0.9999796152114868,1
0.9873226170795225,0.9975573,0.999915138259842,0.985022832695433,0.9867837445964089,0.9999999999557077,0.9999719858169556,1
0.5950179996824132,0.92915195,0.9573974922849668,0.8829385808566517,0.7465828059728271,0.9665321595899253,0.9792685508728027,1
0.9547206451355319,0.99549675,0.9975080458126991,0.8990136645981939,0.9740271573347904,0.9998460610977623,0.994723379611969,1
