,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.6406344674099113,0.620036060401172,0.7627542798131033,0.714005052313323,0.7169771670099516,0.5638600881821828,0.7023831136278768,0.6567225506635672,0.7408991922740676,0.7022657615245168
1,0.5666617248809029,0.8024376417233561,0.7961711043902826,0.8086045228902372,0.7928109515411104,0.5163756080186992,0.7016489481278214,0.7178518342231806,0.8018722709138316,0.7919130673453603
2,0.6519647547857931,0.6136718919935479,0.6928970639203272,0.6975624005627316,0.6909954651328807,0.5273788361031054,0.6106555966801869,0.6432070234711795,0.6921380177012045,0.6725372658124722
3,0.14522549056383832,0.1413510101010101,0.2858244061948323,0.20085949920508744,0.19551618905067178,0.09872102320485841,0.19212769239779331,0.19343625397521502,0.18300976517089046,0.2056133087371818
4,0.22320184344640864,0.5791155565745729,0.4672174500914658,0.3668300653594771,0.32591050254093734,0.20842476489028217,0.2888010778635779,0.22960261179570643,0.347663610898905,0.4113729284183829
5,0.3693950809964901,0.2818822843822844,0.34753141900682877,0.4551533957888258,0.4599840915712093,0.3845092119065766,0.40421185271139587,0.4979651954975261,0.5120652659082671,0.4964519206917061
6,0.44058114408003407,0.6562051282051282,0.662859558692892,0.6712864741038115,0.5460620507952973,0.40491602747789357,0.6773412556941969,0.5363423443261804,0.6824778381166889,0.546071353933423
7,0.41961848608907426,0.3582407531467958,0.5110698621553884,0.49393593056383756,0.5450711840436058,0.22899752320647843,0.4135871788914385,0.369032645485315,0.3731197588777953,0.2574298245614035
8,0.027087853088773477,0.03779550827423168,0.049494949494949494,0.0811965811965812,0.08564814814814814,0.021466703301043864,0.038233172056701466,0.03306288032454361,0.042663283318623124,0.09897999603881957
9,0.10692992644212157,0.1701388888888889,0.11791203823301472,0.16527777777777777,0.16422466422466422,0.0891472288676236,0.1376475331091745,0.20969053238919486,0.28571428571428575,0.15576923076923074
10,0.1785198928056071,0.1802721088435374,0.18497202238209431,0.41421012849584277,0.5068027210884354,0.12108843537414965,0.1061474757126931,0.20284780578898223,0.38369565217391305,0.4235632183908046
11,0.5703764772602334,0.5790858492157194,0.5972176576582843,0.5946582801635066,0.5824024935320615,0.5007451292549815,0.6336083715782964,0.5664393924881296,0.586250561164523,0.6212207263199762
12,0.5265848138619986,0.5780534211343,0.6619468764004143,0.6757072108046304,0.5457481348118647,0.49039843313736586,0.5799944746320346,0.6031184045227933,0.7044826472638023,0.5386590442962992
13,0.09154935055223425,0.09487700877452429,0.1260458675195847,0.14943950698558994,0.12731598928879728,0.07409975309997963,0.20443837288024747,0.09578248885387303,0.10152634530514715,0.11430212435851533
14,0.5369260981291056,0.6502638934361624,0.7936485619559833,0.6595155527245862,0.6967239989273399,0.3149048063618025,0.6519165014797478,0.682320215535607,0.623809651794656,0.5797631032680867
15,0.5189952904238618,0.31245210727969347,0.456998556998557,0.42396958783513405,0.4607479054483663,0.4828231292517007,0.28873319662793345,0.15605881465945617,0.3457819957819958,0.1737689289871453
16,0.514940507741966,0.5498160832064941,0.546671360829974,0.47718922331095576,0.4338620005286672,0.5288940125896647,0.575258457264357,0.43574723846653673,0.4184609336312123,0.479168062759394
17,0.4155578450199781,0.5085125448028673,0.49388393410132536,0.37122626828509186,0.35967791467791466,0.1457349397345557,0.5426504991545643,0.35773792762600987,0.5023142168871664,0.4091081866592324
18,0.3502267894487884,0.4176600366052699,0.45962822661160396,0.59076359537898,0.5425376077779607,0.36766147895981766,0.5172746369136854,0.5455268917389966,0.5703589399585194,0.5614017986065866
19,0.344388586360853,0.5638583767242127,0.5574935263089612,0.4818518867151086,0.6415636334991173,0.31198105455264485,0.4657549980025567,0.49665819610672546,0.5477456202716877,0.557259099577756
20,0.47318802909190283,0.7208888888888888,0.7975974025974026,0.6343682983682983,0.66203007518797,0.3655087329625613,0.4183992921492921,0.5167693399638749,0.6399036979969184,0.7391332681655262
21,0.46051096807675757,0.5047884168035031,0.5502551588841561,0.5600689573060086,0.57120037749398,0.31299139051332037,0.6025058710352829,0.4421172128370461,0.5986902676024247,0.5946754794814101
22,0.060166852400200865,0.15207600281491906,0.4750537056928034,0.40989699955217196,0.3128221155840735,0.03754029672992525,0.22646007877282445,0.2463711994811161,0.3401909832255884,0.23219467235860677
23,0.1886258392192208,0.1472607964494374,0.18172915194833436,0.29315033404710267,0.35697208718950857,0.16137263241922295,0.19068096007478544,0.19855034557050855,0.23869117683480823,0.1842121693874537
24,0.27321717060303213,0.6384603377323683,0.678861124993059,0.6802275094027177,0.6415807564083426,0.28101995268514884,0.5785966286998124,0.4052101491071206,0.5620729073019936,0.42836317628318665
25,0.6497094562551242,0.5206896551724138,0.7222816240831128,0.6554215899043485,0.6252704109772691,0.3881069844537079,0.6509793181314761,0.6339586883930025,0.6465187267512849,0.6015477816107105
26,0.8589632277834526,0.8761273209549072,0.8912521440823328,0.9147058823529411,0.9003092783505154,0.854040404040404,0.8280870742161064,0.8781593406593406,0.9227272727272727,0.8997087378640778
27,0.37732800752602735,0.35013326669998335,0.4588095238095239,0.4129062362758015,0.44213253324215895,0.25303471668631333,0.3852952090072359,0.30612839601172825,0.3770497877260852,0.5014048773407063
28,0.18738996173206698,0.11465383435306009,0.13303329631597813,0.1902365769798638,0.12201625749147446,0.1314689169748042,0.15446125945518382,0.1499088905516584,0.13307313083044697,0.09932901744227218
29,0.831168831168831,0.6575459023734885,0.8333333333333333,0.8666666666666667,0.8322077922077922,0.8183982683982682,0.7296703296703297,0.7095763147743346,0.731135531135531,0.8328513591671485
