,model_1,model_2,worse_prob,better_prob,equivalent_prob
0,Logistic,KNN,0.189,0.787,0.024
1,Logistic,SVM,0.335,0.583,0.082
2,Logistic,RF,0.329,0.549,0.122
3,Logistic,ExT,0.278,0.601,0.12
4,Logistic,Ada,0.217,0.661,0.121
5,Logistic,Grad,0.435,0.359,0.206
6,Logistic,XGB,0.28,0.52,0.2
7,Logistic,CatB,0.329,0.549,0.122
8,Logistic,MLP,0.281,0.483,0.235
9,KNN,SVM,0.719,0.255,0.026
10,KNN,RF,0.743,0.232,0.025
11,KNN,ExT,0.73,0.245,0.025
12,KNN,Ada,0.743,0.23,0.027
13,KNN,Grad,0.787,0.189,0.023
14,KNN,XGB,0.763,0.212,0.025
15,KNN,CatB,0.743,0.232,0.025
16,KNN,MLP,0.802,0.173,0.025
17,SVM,RF,0.516,0.286,0.198
18,SVM,ExT,0.441,0.367,0.191
19,SVM,Ada,0.41,0.445,0.145
20,SVM,Grad,0.657,0.23,0.113
21,SVM,XGB,0.545,0.335,0.12
22,SVM,CatB,0.516,0.286,0.198
23,SVM,MLP,0.545,0.371,0.084
24,RF,ExT,0.034,0.369,0.598
25,RF,Ada,0.302,0.534,0.163
26,RF,Grad,0.621,0.207,0.172
27,RF,XGB,0.45,0.324,0.226
28,RF,CatB,,,
29,RF,MLP,0.493,0.393,0.113
30,ExT,Ada,0.361,0.469,0.171
31,ExT,Grad,0.698,0.155,0.147
32,ExT,XGB,0.54,0.242,0.218
33,ExT,CatB,0.369,0.034,0.598
34,ExT,MLP,0.537,0.352,0.111
35,Ada,Grad,0.903,0.025,0.073
36,Ada,XGB,0.617,0.191,0.192
37,Ada,CatB,0.534,0.302,0.163
38,Ada,MLP,0.598,0.267,0.135
39,Grad,XGB,0.15,0.596,0.254
40,Grad,CatB,0.207,0.621,0.172
41,Grad,MLP,0.299,0.523,0.177
42,XGB,CatB,0.324,0.45,0.226
43,XGB,MLP,0.448,0.401,0.151
44,CatB,MLP,0.493,0.393,0.113
