,model_1,model_2,worse_prob,better_prob,equivalent_prob
0,Logistic,KNN,0.075,0.708,0.217
1,Logistic,SVM,0.013,0.762,0.225
2,Logistic,RF,0.016,0.952,0.032
3,Logistic,ExT,0.019,0.964,0.018
4,Logistic,Ada,0.049,0.909,0.042
5,Logistic,Grad,0.06,0.888,0.053
6,Logistic,XGB,0.012,0.943,0.044
7,Logistic,CatB,0.042,0.766,0.192
8,Logistic,MLP,0.118,0.675,0.207
9,KNN,SVM,0.408,0.287,0.305
10,KNN,RF,0.088,0.772,0.14
11,KNN,ExT,0.057,0.893,0.05
12,KNN,Ada,0.06,0.87,0.071
13,KNN,Grad,0.059,0.858,0.084
14,KNN,XGB,0.083,0.658,0.259
15,KNN,CatB,0.366,0.381,0.253
16,KNN,MLP,0.282,0.308,0.41
17,SVM,RF,0.026,0.896,0.078
18,SVM,ExT,0.025,0.947,0.028
19,SVM,Ada,0.102,0.821,0.077
20,SVM,Grad,0.114,0.796,0.09
21,SVM,XGB,0.055,0.749,0.196
22,SVM,CatB,0.143,0.347,0.51
23,SVM,MLP,0.301,0.429,0.269
24,RF,ExT,0.033,0.881,0.086
25,RF,Ada,0.243,0.589,0.168
26,RF,Grad,0.242,0.533,0.225
27,RF,XGB,0.594,0.067,0.339
28,RF,CatB,0.769,0.088,0.144
29,RF,MLP,0.755,0.099,0.146
30,ExT,Ada,0.553,0.274,0.174
31,ExT,Grad,0.634,0.192,0.174
32,ExT,XGB,0.879,0.052,0.069
33,ExT,CatB,0.925,0.036,0.039
34,ExT,MLP,0.888,0.06,0.052
35,Ada,Grad,0.456,0.301,0.243
36,Ada,XGB,0.734,0.132,0.134
37,Ada,CatB,0.807,0.107,0.086
38,Ada,MLP,0.89,0.046,0.064
39,Grad,XGB,0.687,0.148,0.164
40,Grad,CatB,0.739,0.159,0.102
41,Grad,MLP,0.811,0.092,0.098
42,XGB,CatB,0.607,0.147,0.246
43,XGB,MLP,0.66,0.067,0.272
44,CatB,MLP,0.373,0.375,0.252
